dimension,mean_observed,mean_predicted,bias,mae
total_goals,2.716062,2.528577,-0.187485,1.445318
goals_a,1.54715,1.37555,-0.1716,1.046897
goals_b,1.168912,1.153027,-0.015885,0.878687
total_eq_0,0.088083,0.09252,0.004437,0.004437
total_eq_1,0.189119,0.199895,0.010775,0.010775
total_eq_2,0.225389,0.249138,0.023749,0.023749
total_eq_3,0.214508,0.204327,-0.010181,0.010181
total_eq_4,0.126425,0.131918,0.005493,0.005493
total_eq_5,0.082383,0.06977,-0.012614,0.012614
total_ge_6,0.074093,0.052432,-0.021661,0.021661
