scoreline,observed_count,observed_freq,predicted_freq,abs_error,rel_error
0-0,170,0.088083,0.09252,0.004437,0.0504
1-0,195,0.101036,0.108265,0.007229,0.0715
0-1,170,0.088083,0.091629,0.003547,0.0403
1-1,201,0.104145,0.108296,0.004151,0.0399
2-1,178,0.092228,0.070487,0.021741,0.2357
1-2,110,0.056995,0.061119,0.004124,0.0724
2-0,141,0.073057,0.080801,0.007744,0.106
0-2,93,0.048187,0.060041,0.011855,0.246
2-2,80,0.041451,0.037808,0.003643,0.0879
3-1,64,0.033161,0.035676,0.002516,0.0759
1-3,51,0.026425,0.027461,0.001036,0.0392
3-0,78,0.040415,0.043588,0.003174,0.0785
0-3,48,0.02487,0.029133,0.004263,0.1714
resto,351,0.181865,0.153176,0.02869,0.1578
