component_id,fold_id,n_test,base_tail4,abl_tail4,delta_tail4,base_tail5,abl_tail5,delta_tail5,base_tail6,abl_tail6,delta_tail6,delta_goal_total_bias,delta_exact_top1,delta_penca,delta_logloss,delta_brier,delta_draw_error
mu_total,1,200,0.032108,0.00345,-0.028658,0.038611,0.019655,-0.018957,0.003022,0.007547,0.004525,0.134823,0.01,-0.025,0.004479,0.000894,0.009266
mu_total,2,197,0.035443,0.064345,0.028902,0.010034,0.009123,-0.000911,0.008614,0.002085,-0.006529,0.135959,-0.015228,-0.035533,0.002321,0.000535,0.009389
mu_total,3,199,0.00353,0.025392,0.021862,0.000698,0.019821,0.019122,0.026806,0.03746,0.010654,0.136064,0.015075,0.055276,-0.00019,-2.1e-05,0.009339
mu_total,4,199,0.005849,0.034794,0.028946,0.000244,0.019362,0.019118,0.008625,0.002014,-0.006612,0.136257,0.015075,-0.085427,-0.001316,-0.000242,-0.009387
mu_total,5,199,0.016362,0.045174,0.028812,0.015623,0.034674,0.019051,0.026721,0.037336,0.010615,0.135655,0.005025,0.060302,-0.000226,-6.3e-05,-0.009392
mu_total,6,200,0.023899,0.052602,0.028703,0.00795,0.011086,0.003136,0.012655,0.002018,-0.010637,0.135089,-0.005,0.025,0.000318,0.000136,0.005652
mu_total,7,199,0.01338,0.042433,0.029054,0.00693,0.026227,0.019297,0.007708,0.003084,-0.004623,0.136704,-0.01005,0.080402,0.000726,0.000111,0.009559
mu_total,8,127,0.058482,0.087148,0.028665,0.012768,0.031845,0.019077,0.01351,0.024201,0.010691,0.134936,-0.007874,0.102362,0.001536,0.000333,0.009532
mu_clamp,1,200,0.032108,0.036491,0.004383,0.038611,0.008465,-0.030146,0.003022,0.024188,0.021166,0.320859,0.02,0.0,0.011988,0.002302,0.021252
mu_clamp,2,197,0.035443,0.10423,0.068787,0.010034,0.037254,0.02722,0.008614,0.01876,0.010146,0.321718,-0.015228,-0.076142,0.006373,0.001384,0.021376
mu_clamp,3,199,0.00353,0.064986,0.061456,0.000698,0.047695,0.046997,0.026806,0.053956,0.02715,0.320478,0.015075,0.105528,0.000112,8.3e-05,0.021203
mu_clamp,4,199,0.005849,0.074223,0.068374,0.000244,0.04708,0.046836,0.008625,0.018399,0.009774,0.319898,0.020101,-0.085427,-0.001605,-0.000262,-0.02119
mu_clamp,5,199,0.016362,0.08508,0.068718,0.015623,0.062751,0.047128,0.026721,0.053942,0.027221,0.32151,-0.01005,0.050251,-0.000322,-0.000147,0.001275
mu_clamp,6,200,0.023899,0.092699,0.0688,0.00795,0.039364,0.031414,0.012655,0.014741,0.002085,0.321816,-0.02,-0.01,0.001865,0.000564,0.017708
mu_clamp,7,199,0.01338,0.082477,0.069097,0.00693,0.054511,0.047581,0.007708,0.019875,0.012167,0.323094,-0.040201,0.045226,0.002391,0.000363,0.021633
mu_clamp,8,127,0.058482,0.127571,0.069089,0.012768,0.060426,0.047657,0.01351,0.041179,0.027669,0.32311,0.0,0.165354,0.004597,0.000929,0.021809
dixon_coles,1,200,0.032108,0.031357,-0.000751,0.038611,0.036983,-0.001629,0.003022,0.001523,-0.001498,-0.000527,-0.02,0.0,0.000546,0.000129,0.003153
dixon_coles,2,197,0.035443,0.036209,0.000767,0.010034,0.008394,-0.00164,0.008614,0.007108,-0.001507,-0.000409,0.015228,0.0,-0.000562,-0.000124,0.002979
dixon_coles,3,199,0.00353,0.002771,-0.000759,0.000698,0.002333,0.001635,0.026806,0.028307,0.001501,-0.000494,-0.005025,0.090452,0.000726,0.000143,0.00317
dixon_coles,4,199,0.005849,0.006599,0.00075,0.000244,0.001873,0.001629,0.008625,0.007128,-0.001497,-0.00058,-0.020101,0.0,-0.000347,-4.7e-05,-0.003305
dixon_coles,5,199,0.016362,0.017128,0.000766,0.015623,0.017264,0.001641,0.026721,0.028225,0.001505,-0.000475,0.0,0.095477,-0.000141,-3.8e-05,-0.003133
dixon_coles,6,200,0.023899,0.02467,0.00077,0.00795,0.006305,-0.001645,0.012655,0.011145,-0.00151,-0.000377,0.0,0.0,-0.000453,-9e-05,-0.000855
dixon_coles,7,199,0.01338,0.01416,0.00078,0.00693,0.008581,0.001651,0.007708,0.006193,-0.001514,-0.000277,-0.020101,0.030151,0.000576,9.7e-05,0.002697
dixon_coles,8,127,0.058482,0.059254,0.000772,0.012768,0.014416,0.001647,0.01351,0.015025,0.001516,-0.0003,0.015748,0.03937,0.000251,0.000106,0.002617
bivariate,1,200,0.032108,0.033568,0.00146,0.038611,0.041304,0.002693,0.003022,0.005301,0.00228,-1.9e-05,-0.005,0.0,0.000631,0.000172,0.003823
bivariate,2,197,0.035443,0.033992,-0.001451,0.010034,0.012722,0.002688,0.008614,0.010894,0.002279,-2.6e-05,-0.005076,-0.025381,-0.000343,-0.000109,0.003699
bivariate,3,199,0.00353,0.004998,0.001467,0.000698,0.002005,0.001306,0.026806,0.024519,-0.002287,-2.2e-05,0.01005,0.0,0.000576,0.000127,0.003846
bivariate,4,199,0.005849,0.004371,-0.001478,0.000244,0.00247,0.002226,0.008625,0.010919,0.002294,-2.1e-05,0.0,-0.025126,-0.000548,-7.7e-05,-0.003922
bivariate,5,199,0.016362,0.014879,-0.001483,0.015623,0.012892,-0.002731,0.026721,0.02441,-0.002311,-3.4e-05,-0.005025,0.055276,-1.1e-05,-8e-06,-0.003828
bivariate,6,200,0.023899,0.022436,-0.001463,0.00795,0.010667,0.002717,0.012655,0.014962,0.002306,-3.2e-05,-0.005,0.0,-0.000405,-9.7e-05,-6.2e-05
bivariate,7,199,0.01338,0.01192,-0.001459,0.00693,0.004208,-0.002722,0.007708,0.010022,0.002315,-3.2e-05,-0.01005,-0.025126,0.000796,0.000117,0.003614
bivariate,8,127,0.058482,0.057034,-0.001448,0.012768,0.010053,-0.002715,0.01351,0.011196,-0.002313,-4.1e-05,0.007874,0.023622,-0.000266,8.6e-05,0.003506
overdispersed,1,200,0.032108,0.031781,-0.000327,0.038611,0.037892,-0.000719,0.003022,0.002363,-0.000658,0.000176,-0.005,0.0,8.3e-05,5e-06,0.000632
overdispersed,2,197,0.035443,0.035762,0.00032,0.010034,0.009307,-0.000727,0.008614,0.007945,-0.00067,0.000121,0.0,0.0,-0.000303,-6.1e-05,0.000567
overdispersed,3,199,0.00353,0.003206,-0.000324,0.000698,0.001412,0.000714,0.026806,0.027459,0.000653,0.000167,-0.005025,0.025126,0.000216,4.4e-05,0.00064
overdispersed,4,199,0.005849,0.006178,0.000329,0.000244,0.000952,0.000708,0.008625,0.007981,-0.000644,0.000203,0.0,0.0,-8.7e-05,-1e-05,-0.000682
overdispersed,5,199,0.016362,0.016687,0.000325,0.015623,0.016333,0.00071,0.026721,0.027369,0.000648,0.000166,0.0,0.0,-2e-05,-5e-06,-0.000625
overdispersed,6,200,0.023899,0.024219,0.00032,0.00795,0.007226,-0.000724,0.012655,0.011989,-0.000666,0.000126,0.0,0.0,-0.000159,-3.3e-05,-0.000552
overdispersed,7,199,0.01338,0.013695,0.000315,0.00693,0.007657,0.000727,0.007708,0.007035,-0.000672,9.2e-05,-0.015075,0.0,0.00014,2.5e-05,0.000507
overdispersed,8,127,0.058482,0.058798,0.000316,0.012768,0.013506,0.000738,0.01351,0.014194,0.000685,8.5e-05,0.007874,0.0,6.2e-05,1.8e-05,0.000462
reshape,1,200,0.032108,0.033004,0.000896,0.038611,0.038965,0.000354,0.003022,0.003232,0.000211,-0.004008,-0.01,0.0,0.0,-0.0,0.0
reshape,2,197,0.035443,0.03445,-0.000993,0.010034,0.010438,0.000404,0.008614,0.008847,0.000233,-0.004434,0.0,0.0,0.0,-0.0,-0.0
reshape,3,199,0.00353,0.004402,0.000872,0.000698,0.000357,-0.000341,0.026806,0.0266,-0.000206,-0.003896,-0.005025,0.050251,-0.0,0.0,0.0
reshape,4,199,0.005849,0.005015,-0.000833,0.000244,7.7e-05,-0.000167,0.008625,0.008821,0.000196,-0.003714,0.0,0.035176,0.0,0.0,0.0
reshape,5,199,0.016362,0.015423,-0.000939,0.015623,0.01525,-0.000373,0.026721,0.026501,-0.000219,-0.00414,-0.005025,0.0,0.0,0.0,0.0
reshape,6,200,0.023899,0.022813,-0.001086,0.00795,0.008398,0.000448,0.012655,0.012908,0.000252,-0.004777,0.0,-0.005,0.0,0.0,-0.0
reshape,7,199,0.01338,0.012258,-0.001122,0.00693,0.006465,-0.000465,0.007708,0.007968,0.00026,-0.004939,-0.015075,0.0,-0.0,0.0,0.0
reshape,8,127,0.058482,0.057232,-0.001251,0.012768,0.012237,-0.000531,0.01351,0.013221,-0.000289,-0.005481,0.007874,0.0,0.0,0.0,-0.0
penca_penalties,1,200,0.032108,0.032108,0.0,0.038611,0.038611,0.0,0.003022,0.003022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penca_penalties,2,197,0.035443,0.035443,0.0,0.010034,0.010034,0.0,0.008614,0.008614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penca_penalties,3,199,0.00353,0.00353,0.0,0.000698,0.000698,0.0,0.026806,0.026806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penca_penalties,4,199,0.005849,0.005849,0.0,0.000244,0.000244,0.0,0.008625,0.008625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penca_penalties,5,199,0.016362,0.016362,0.0,0.015623,0.015623,0.0,0.026721,0.026721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penca_penalties,6,200,0.023899,0.023899,0.0,0.00795,0.00795,0.0,0.012655,0.012655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penca_penalties,7,199,0.01338,0.01338,0.0,0.00693,0.00693,0.0,0.007708,0.007708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penca_penalties,8,127,0.058482,0.058482,0.0,0.012768,0.012768,0.0,0.01351,0.01351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
