team,elo,fifa_points,fifa_rank,fifa_implied_elo,elo_vs_fifa_gap,last_match_age_days,recent_coverage,recent_coverage_6m,recent_coverage_12m,official_matches_12m,friendly_matches_12m,anomalous_jump,anomalous_elo_jump,activity_warning,elo_staleness_score,recommended_action,warnings
Algeria,1674.0,1560.91,28,1759.659,-85.659,2,20,15,20,13,7,15.362,15.362,,0.3426,shrink_fifa,discrepancia moderada Elo vs FIFA
Argentina,2113.0,1873.33,2,2111.034,1.966,2,9,5,9,4,5,18.148,18.148,,0.0454,elo_domina,
Australia,1774.0,1574.01,27,1774.393,-0.393,2,10,6,10,6,4,15.396,15.396,,0.0091,elo_domina,
Austria,1818.0,1585.51,24,1787.327,30.673,2,10,6,10,8,2,17.009,17.009,,0.1227,elo_domina,
Belgium,1849.0,1730.71,9,1950.631,-101.631,2,10,6,10,8,2,10.941,10.941,,0.4065,shrink_fifa,discrepancia moderada Elo vs FIFA
Bosnia and Herzegovina,1571.0,1362.37,71,1536.364,34.636,2,10,6,10,8,2,14.931,14.931,,0.1385,elo_domina,
Brazil,1978.0,1760.46,5,1984.09,-6.09,2,10,6,10,5,5,21.314,21.314,,0.0431,elo_domina,
Canada,1806.0,1559.15,29,1757.68,48.32,2,14,6,14,6,8,12.244,12.244,,0.1933,elo_domina,
Cape Verde,1561.0,1370.49,67,1545.497,15.503,3,11,6,11,8,3,14.406,14.406,,0.062,elo_domina,
Colombia,1998.0,1701.3,14,1917.554,80.446,4,10,6,10,4,6,13.983,13.983,,0.3518,shrink_fifa,discrepancia moderada Elo vs FIFA
Croatia,1932.0,1716.88,11,1935.077,-3.077,2,10,6,10,8,2,13.983,13.983,,0.0123,elo_domina,
Curacao,1467.0,1302.7,81,1469.254,-2.254,,,,,,,,,,0.015,elo_domina,sin actividad reciente (no se cargó historial)
Czech Republic,1731.0,1487.0,43,1676.534,54.466,2,10,6,10,8,2,21.586,21.586,,0.2179,elo_domina,
Dem. Rep. of Congo,1639.0,1468.22,48,1655.412,-16.412,,,,,,,,,,0.1094,elo_domina,sin actividad reciente (no se cargó historial)
Ecuador,1933.0,1591.73,23,1794.322,138.678,2,10,6,10,4,6,18.148,18.148,,0.5847,shrink_fifa,discrepancia fuerte Elo vs FIFA (warning fuerte)
Egypt,1660.0,1556.71,31,1754.936,-94.936,2,18,16,18,16,2,14.358,14.358,,0.3797,shrink_fifa,discrepancia moderada Elo vs FIFA
England,2042.0,1834.12,4,2066.935,-24.935,2,10,6,10,6,4,16.899,16.899,,0.1072,elo_domina,
France,2063.0,1870.0,3,2107.288,-44.288,4,10,6,10,8,2,10.713,10.713,,0.1772,elo_domina,
Germany,1910.0,1724.15,10,1943.253,-33.253,3,10,6,10,8,2,19.297,19.297,,0.133,elo_domina,
Ghana,1509.0,1351.09,72,1523.678,-14.678,3,10,6,10,7,3,14.931,14.931,,0.0587,elo_domina,
Haiti,1542.0,1294.49,83,1460.021,81.979,2,13,6,13,11,2,16.457,16.457,,0.3279,shrink_fifa,discrepancia moderada Elo vs FIFA
Iran,1754.0,1617.02,20,1822.765,-68.765,2,8,6,8,4,4,18.254,18.254,,0.3201,shrink_fifa,discrepancia moderada Elo vs FIFA
Iraq,1583.0,1436.94,58,1620.232,-37.232,2,13,9,13,13,0,13.465,13.465,,0.1489,elo_domina,
Ivory Coast,1637.0,1522.48,37,1716.438,-79.438,2,15,11,15,11,4,16.395,16.395,,0.3178,shrink_fifa,discrepancia moderada Elo vs FIFA
Japan,1878.0,1650.12,19,1859.993,18.007,2,10,6,10,6,4,15.475,15.475,,0.0795,elo_domina,
