match_id,team,base_elo,fifa_implied_elo,staleness_score,shrink_weight,adjusted_elo,shrink_target,trigger,reason,applied_in_production,captured_at_utc,last_match_age_days,recent_coverage_6m,recent_coverage_12m,official_matches_12m,friendly_matches_12m,anomalous_elo_jump,activity_warning
20260612_Mexico_vs_South_Africa,Mexico,1853.0,1888.818,0.1433,0.0,1853.0,fifa_implied_elo,elo_domina,staleness por debajo del mínimo: Elo se mantiene,False,2026-06-14T20:11:40.911422+00:00,2,9,19,6,13,14.56,
20260612_Mexico_vs_South_Africa,South Africa,1529.0,1615.531,0.3461,0.1731,1543.974,fifa_implied_elo,staleness_shrink,staleness moderado (0.346): shrink hacia FIFA,False,2026-06-14T20:11:40.911422+00:00,2,9,13,8,5,12.023,
20260613_Brazil_vs_Morocco,Brazil,1978.0,1984.09,0.0431,0.0,1978.0,fifa_implied_elo,elo_domina,staleness por debajo del mínimo: Elo se mantiene,False,2026-06-14T20:11:40.911422+00:00,2,6,10,5,5,21.314,
20260613_Brazil_vs_Morocco,Morocco,1806.0,1957.222,0.6,0.3,1851.367,fifa_implied_elo,staleness_shrink,staleness alto (0.6): shrink hacia FIFA (warning fuerte),False,2026-06-14T20:11:40.911422+00:00,2,19,23,16,7,10.614,
20260614_United_States_vs_Paraguay,United States,1747.0,1895.713,0.5949,0.2974,1791.235,fifa_implied_elo,staleness_shrink,staleness alto (0.595): shrink hacia FIFA (warning fuerte),False,2026-06-14T20:11:40.911422+00:00,2,6,16,6,10,15.475,
20260614_United_States_vs_Paraguay,Paraguay,1833.0,1692.842,0.5794,0.2897,1792.396,fifa_implied_elo,staleness_shrink,staleness alto (0.579): shrink hacia FIFA (warning fuerte),False,2026-06-14T20:11:40.911422+00:00,2,6,10,5,5,15.64,
20260612_Canada_vs_Bosnia_and_Herzegovina,Canada,1806.0,1757.68,0.1933,0.0,1806.0,fifa_implied_elo,elo_domina,staleness por debajo del mínimo: Elo se mantiene,False,2026-06-14T20:11:40.911422+00:00,2,6,14,6,8,12.244,
20260612_Canada_vs_Bosnia_and_Herzegovina,Bosnia and Herzegovina,1571.0,1536.364,0.1385,0.0,1571.0,fifa_implied_elo,elo_domina,staleness por debajo del mínimo: Elo se mantiene,False,2026-06-14T20:11:40.911422+00:00,2,6,10,8,2,14.931,
20260615_Australia_vs_Turkey,Australia,1774.0,1774.393,0.0091,0.0,1774.0,fifa_implied_elo,elo_domina,staleness por debajo del mínimo: Elo se mantiene,False,2026-06-14T20:11:40.911422+00:00,2,6,10,6,4,15.396,
20260615_Australia_vs_Turkey,Turkey,1880.0,1784.155,0.3834,0.1917,1861.627,fifa_implied_elo,staleness_shrink,staleness moderado (0.383): shrink hacia FIFA,False,2026-06-14T20:11:40.911422+00:00,2,6,10,8,2,12.048,
