variant,matches,brier_score,log_loss,accuracy,mae_total_goals,expected_penca_points,delta_brier_vs_full,delta_log_loss_vs_full,delta_accuracy_vs_full,stripped_fields,applicable,recommendation
modelo_completo,1930,0.1973429339931665,0.9944440476838784,0.5409326424870466,1.9255838811141417,,0.0,0.0,0.0,0,True,referencia
sin_mercado,1930,0.1973429339931665,0.9944440476838784,0.5409326424870466,1.9255838811141417,,0.0,0.0,0.0,0,False,no_aplicable: feature ausente en histórico
sin_elo,1930,0.21904590279843814,1.0837960871752597,0.45284974093264246,2.0430541968911915,,0.021702968805271644,0.08935203949138126,-0.08808290155440418,2,True,conservar_o_reforzar_bloque; quitar sin_elo empeora metricas
sin_fifa,1930,0.1973429339931665,0.9944440476838784,0.5409326424870466,1.9255838811141417,,0.0,0.0,0.0,0,False,no_aplicable: feature ausente en histórico
sin_historia,1930,0.1973429339931665,0.9944440476838784,0.5409326424870466,1.9255838811141417,,0.0,0.0,0.0,2,True,impacto_neutro; mantener_con_peso_suave
sin_plantilla,1930,0.1973429339931665,0.9944440476838784,0.5409326424870466,1.9255838811141417,,0.0,0.0,0.0,0,False,no_aplicable: feature ausente en histórico
sin_contexto,1930,0.1973429339931665,0.9944440476838784,0.5409326424870466,1.9255838811141417,,0.0,0.0,0.0,2,True,impacto_neutro; mantener_con_peso_suave
sin_coach_bias,1930,0.1973429339931665,0.9944440476838784,0.5409326424870466,1.9255838811141417,,0.0,0.0,0.0,0,False,no_aplicable: feature ausente en histórico
sin_chemistry_bias,1930,0.1973429339931665,0.9944440476838784,0.5409326424870466,1.9255838811141417,,0.0,0.0,0.0,0,False,no_aplicable: feature ausente en histórico
sin_discipline_bias,1930,0.1973429339931665,0.9944440476838784,0.5409326424870466,1.9255838811141417,,0.0,0.0,0.0,0,False,no_aplicable: feature ausente en histórico
sin_resource_index,1930,0.1973429339931665,0.9944440476838784,0.5409326424870466,1.9255838811141417,,0.0,0.0,0.0,0,False,no_aplicable: feature ausente en histórico
sin_consensus_priors,1930,0.1973429339931665,0.9944440476838784,0.5409326424870466,1.9255838811141417,,0.0,0.0,0.0,0,False,no_aplicable: feature ausente en histórico
sin_tactical_bias,1930,0.1973429339931665,0.9944440476838784,0.5409326424870466,1.9255838811141417,,0.0,0.0,0.0,0,False,no_aplicable: feature ausente en histórico
sin_state_dynamic,1930,0.1973429339931665,0.9944440476838784,0.5409326424870466,1.9255838811141417,,0.0,0.0,0.0,0,False,no_aplicable: feature ausente en histórico
