metric,value
code_audit_walk_forward,True
n_compared,1930
pearson_elo_a,0.9999999999979956
pearson_elo_b,0.9999999999978766
mean_abs_delta,0.0002509396324318838
max_abs_delta,0.0004999487916848011
corr_threshold,0.99
max_abs_delta_threshold,5.0
leakage_warning,False
model_original_logloss,0.9944440476838784
model_rederived_logloss,0.9944440476838784
model_rederived_brier,0.1973429339931665
poisson_rederived_logloss,1.0005756858384827
elo_puro_rederived_logloss,1.0038472968239063
model_beats_poisson_rederived,True
model_beats_elo_rederived,True
logloss_shift_vs_original,0.0
backtest_stable,True
final_leakage_warning,False
