match_id,date,team_a,team_b,elo_a_pre_original,elo_b_pre_original,elo_a_pre_rederived,elo_b_pre_rederived,elo_delta_a,elo_delta_b,elo_source_status
19500624_Brazil_vs_Mexico,1950-06-24,Brazil,Mexico,1776.493,1652.38,1776.492703676277,1652.3796087118835,0.0002963237229778315,0.00039128811658883933,comparado
19500625_Chile_vs_England,1950-06-25,Chile,England,1489.726,1726.578,1489.7256139384056,1726.5782326806273,0.00038606159455412126,-0.00023268062727765937,comparado
19500625_Italy_vs_Sweden,1950-06-25,Italy,Sweden,1778.604,1666.652,1778.6041588368273,1666.6523367900334,-0.00015883682726780535,-0.00033679003331599233,comparado
19500625_Spain_vs_United_States,1950-06-25,Spain,United States,1623.231,1436.628,1623.2308198849291,1436.6283854968215,0.00018011507086157508,-0.00038549682153643516,comparado
19500625_Switzerland_vs_Yugoslavia,1950-06-25,Switzerland,Yugoslavia,1514.404,1598.035,1514.4041213224755,1598.0351846576007,-0.00012132247547924635,-0.00018465760058461456,comparado
19500628_Brazil_vs_Switzerland,1950-06-28,Brazil,Switzerland,1797.52,1492.982,1797.519704921042,1492.981600724718,0.00029507895806091256,0.00039927528200678353,comparado
19500628_Mexico_vs_Yugoslavia,1950-06-28,Mexico,Yugoslavia,1631.353,1619.458,1631.3526074671186,1619.4577052553582,0.00039253288150575827,0.0002947446419057087,comparado
19500629_Chile_vs_Spain,1950-06-29,Chile,Spain,1481.241,1634.06,1481.2408127578747,1634.0604420925433,0.0001872421253210632,-0.0004420925433805678,comparado
19500629_England_vs_United_States,1950-06-29,England,United States,1735.063,1425.799,1735.0630338611581,1425.7987632892073,-3.3861158044601325e-05,0.00023671079270570772,comparado
19500629_Paraguay_vs_Sweden,1950-06-29,Paraguay,Sweden,1641.192,1694.194,1641.1919134099307,1694.1941687266028,8.65900692588184e-05,-0.0001687266028511658,comparado
19500701_Brazil_vs_Yugoslavia,1950-07-01,Brazil,Yugoslavia,1782.721,1649.404,1782.721482682158,1649.404276092148,-0.00048268215800817416,-0.00027609214794210857,comparado
19500702_Bolivia_vs_Uruguay,1950-07-02,Bolivia,Uruguay,1350.835,1569.234,1350.8352206617014,1569.2344841872084,-0.0002206617014053336,-0.0004841872084853094,comparado
19500702_Chile_vs_United_States,1950-07-02,Chile,United States,1468.589,1461.739,1468.5890577890011,1461.7394226989745,-5.7789001175478916e-05,-0.0004226989744893217,comparado
19500702_England_vs_Spain,1950-07-02,England,Spain,1699.122,1646.712,1699.122374451391,1646.7121970614169,-0.00037445139082592505,-0.00019706141688402568,comparado
19500702_Italy_vs_Paraguay,1950-07-02,Italy,Paraguay,1751.062,1644.371,1751.0623269002579,1644.370898603803,-0.00032690025796000555,0.00010139619712390413,comparado
19500702_Mexico_vs_Switzerland,1950-07-02,Mexico,Switzerland,1601.406,1507.78,1601.4060366303288,1507.7798229636019,-3.663032885015127e-05,0.0001770363980995171,comparado
19500709_Brazil_vs_Sweden,1950-07-09,Brazil,Sweden,1796.514,1691.015,1796.514161889731,1691.0151835327306,-0.00016188973108910432,-0.00018353273048887786,comparado
19500709_Spain_vs_Uruguay,1950-07-09,Spain,Uruguay,1670.856,1587.826,1670.856206475349,1587.8255360725643,-0.0002064753489321447,0.00046392743570322637,comparado
19500713_Brazil_vs_Spain,1950-07-13,Brazil,Spain,1824.019,1665.931,1824.0187194349405,1665.9310033046688,0.00028056505948370614,-3.3046687804016983e-06,comparado
19500713_Sweden_vs_Uruguay,1950-07-13,Sweden,Uruguay,1663.511,1592.751,1663.510625987521,1592.7507392432444,0.0003740124789146648,0.00026075675555148337,comparado
19500716_Brazil_vs_Uruguay,1950-07-16,Brazil,Uruguay,1844.168,1617.97,1844.1682674513308,1617.9695000977456,-0.0002674513309557369,0.0004999022544325271,comparado
19500716_Spain_vs_Sweden,1950-07-16,Spain,Sweden,1645.781,1638.292,1645.7814552882785,1638.2918651330199,-0.00045528827854468545,0.00013486698003362108,comparado
19530222_Peru_vs_Bolivia,1953-02-22,Peru,Bolivia,1580.279,1332.244,1580.2791916387018,1332.2441687763455,-0.0001916387018354726,-0.0001687763456175162,comparado
19530225_Bolivia_vs_Uruguay,1953-02-25,Bolivia,Uruguay,1366.12,1659.197,1366.1196459334635,1659.1970206634335,0.0003540665363743756,-2.0663433588197222e-05,comparado
19530225_Chile_vs_Paraguay,1953-02-25,Chile,Paraguay,1560.762,1628.919,1560.7622982782373,1628.9194331854148,-0.0002982782373237569,-0.0004331854147494596,comparado
19530228_Peru_vs_Ecuador,1953-02-28,Peru,Ecuador,1546.404,1232.194,1546.4037144815838,1232.194441777898,0.00028551841614898876,-0.0004417778980041476,comparado
19530301_Bolivia_vs_Brazil,1953-03-01,Bolivia,Brazil,1359.761,1824.564,1359.7612462135,1824.5640904716129,-0.00024621350007691944,-9.047161279340799e-05,comparado
19530301_Chile_vs_Uruguay,1953-03-01,Chile,Uruguay,1537.994,1665.555,1537.9943260194127,1665.555420383397,-0.0003260194127960858,-0.00042038339688588167,comparado
19530304_Ecuador_vs_Paraguay,1953-03-04,Ecuador,Paraguay,1226.281,1651.687,1226.2812110959342,1651.6874054442394,-0.00021109593421897443,-0.00040544423950450437,comparado
19530304_Peru_vs_Chile,1953-03-04,Peru,Chile,1552.317,1566.376,1552.3169451635476,1566.3757553781052,5.4836452363815624e-05,0.0002446218948080059,comparado
19530308_Bolivia_vs_Ecuador,1953-03-08,Bolivia,Ecuador,1355.116,1243.941,1355.1158367363212,1243.9412118250036,0.00016326367881447368,-0.00021182500358918332,comparado
19530308_Peru_vs_Paraguay,1953-03-08,Peru,Paraguay,1553.166,1634.027,1553.1662363568355,1634.02740471517,-0.00023635683555767173,-0.0004047151699069218,comparado
19530312_Brazil_vs_Ecuador,1953-03-12,Brazil,Ecuador,1829.209,1250.441,1829.2094999487917,1250.4405968879894,-0.0004999487916848011,0.0004031120106446906,comparado
19530312_Paraguay_vs_Uruguay,1953-03-12,Paraguay,Uruguay,1629.226,1637.174,1629.2262995984668,1637.1739910247045,-0.00029959846665406076,8.975295486379764e-06,comparado
19530315_Brazil_vs_Uruguay,1953-03-15,Brazil,Uruguay,1830.47,1636.694,1830.4698571213169,1636.6936936085203,0.00014287868316387176,0.000306391479625745,comparado
19530316_Bolivia_vs_Paraguay,1953-03-16,Bolivia,Paraguay,1348.616,1629.707,1348.6164516733354,1629.706597014651,-0.00045167333541940025,0.00040298534918292717,comparado
19530319_Chile_vs_Ecuador,1953-03-19,Chile,Ecuador,1565.526,1249.18,1565.5264641848173,1249.1802397154643,-0.0004641848172468599,-0.00023971546420398226,comparado
19530319_Peru_vs_Brazil,1953-03-19,Peru,Brazil,1557.967,1840.838,1557.9673414735387,1840.8376998815218,-0.0003414735385831591,0.00030011847820787807,comparado
19530323_Brazil_vs_Chile,1953-03-23,Brazil,Chile,1805.728,1572.618,1805.7281735091176,1572.6179686560683,-0.00017350911753055698,3.134393159598403e-05,comparado
19530323_Ecuador_vs_Uruguay,1953-03-23,Ecuador,Uruguay,1242.089,1626.326,1242.0887352442132,1626.3258508483154,0.0002647557867021533,0.00014915168458173866,comparado
19530327_Brazil_vs_Paraguay,1953-03-27,Brazil,Paraguay,1814.431,1636.656,1814.430547746139,1636.6563012678423,0.0004522538611126947,-0.00030126784236017556,comparado
19530328_Bolivia_vs_Chile,1953-03-28,Bolivia,Chile,1341.667,1563.916,1341.666747420144,1563.915594419047,0.0002525798558963288,0.00040558095292908547,comparado
19530328_Peru_vs_Uruguay,1953-03-28,Peru,Uruguay,1593.077,1633.192,1593.0768678459428,1633.19247032363,0.00013215405715527595,-0.0004703236299974378,comparado
19530401_Brazil_vs_Paraguay,1953-04-01,Brazil,Paraguay,1783.534,1667.553,1783.5343067602853,1667.552542253696,-0.0003067602851842821,0.00045774630416417494,comparado
19540616_Austria_vs_Scotland,1954-06-16,Austria,Scotland,1647.017,1621.229,1647.0167212571157,1621.2287541367741,0.00027874288434759364,0.0002458632259276783,comparado
19540616_Brazil_vs_Mexico,1954-06-16,Brazil,Mexico,1795.806,1603.436,1795.8062270884975,1603.4364357907393,-0.0002270884974677756,-0.0004357907394023641,comparado
19540616_Czechoslovakia_vs_Uruguay,1954-06-16,Czechoslovakia,Uruguay,1588.08,1661.778,1588.079586667554,1661.7781435851691,0.0004133324459871801,-0.0001435851690985146,comparado
19540616_France_vs_Yugoslavia,1954-06-16,France,Yugoslavia,1574.521,1684.87,1574.5213609327436,1684.8699813732665,-0.0003609327436606691,1.862673343566712e-05,comparado
19540617_Belgium_vs_England,1954-06-17,Belgium,England,1529.938,1693.841,1529.9375742097443,1693.8408556005684,0.00042579025580380403,0.00014439943151955958,comparado
19540617_Germany_vs_Turkey,1954-06-17,Germany,Turkey,1715.119,1517.005,1715.1190819808394,1517.0054272393638,-8.198083946808765e-05,-0.00042723936371658056,comparado
19540617_Hungary_vs_South_Korea,1954-06-17,Hungary,South Korea,1784.1,1531.809,1784.1002178414865,1531.8093749733819,-0.0002178414865738887,-0.00037497338189496077,comparado
19540617_Switzerland_vs_Italy,1954-06-17,Switzerland,Italy,1502.562,1748.774,1502.5622411816878,1748.7742535109855,-0.00024118168789755146,-0.0002535109856580675,comparado
19540619_Austria_vs_Czechoslovakia,1954-06-19,Austria,Czechoslovakia,1666.461,1570.422,1666.460878885444,1570.4219695315576,0.00012111455612284772,3.0468442446363042e-05,comparado
19540619_Brazil_vs_Yugoslavia,1954-06-19,Brazil,Yugoslavia,1812.994,1699.416,1812.9935344219468,1699.4157732762535,0.0004655780530811171,0.00022672374643661897,comparado
19540619_France_vs_Mexico,1954-06-19,France,Mexico,1559.976,1586.249,1559.9755690297566,1586.24912845729,0.0004309702435421059,-0.0001284572899749037,comparado
19540619_Scotland_vs_Uruguay,1954-06-19,Scotland,Uruguay,1601.785,1679.436,1601.784596508446,1679.4357607211655,0.0004034915541524242,0.00023927883444230247,comparado
19540620_Belgium_vs_Italy,1954-06-20,Belgium,Italy,1539.169,1714.968,1539.1694568756227,1714.9677644682272,-0.0004568756226035475,0.0002355317728870432,comparado
19540620_Germany_vs_Hungary,1954-06-20,Germany,Hungary,1728.058,1800.554,1728.0582036943608,1800.5538809410575,-0.00020369436083456094,0.0001190589425732469,comparado
19540620_South_Korea_vs_Turkey,1954-06-20,South Korea,Turkey,1515.356,1504.066,1515.3557118738108,1504.0663055258424,0.00028812618916163046,-0.00030552584235010727,comparado
19540620_Switzerland_vs_England,1954-06-20,Switzerland,England,1536.369,1684.609,1536.3687302244462,1684.60897293469,0.00026977555376106466,2.7065309950558003e-05,comparado
19540623_Germany_vs_Turkey,1954-06-23,Germany,Turkey,1699.124,1548.923,1699.1239338158234,1548.9228313295255,6.61841766032012e-05,0.00016867047452251427,comparado
19540623_Switzerland_vs_Italy,1954-06-23,Switzerland,Italy,1523.455,1729.341,1523.4548482197663,1729.341412204936,0.00015178023363660031,-0.0004122049360830715,comparado
19540626_England_vs_Uruguay,1954-06-26,England,Uruguay,1697.523,1712.342,1697.5228549393698,1712.3421205542502,0.00014506063007502235,-0.00012055425008838938,comparado
19540626_Switzerland_vs_Austria,1954-06-26,Switzerland,Austria,1564.232,1692.794,1564.2315083229605,1692.7943942898103,0.0004916770394629566,-0.0003942898101740866,comparado
19540627_Brazil_vs_Hungary,1954-06-27,Brazil,Hungary,1806.363,1829.488,1806.3630928524913,1829.488150819595,-9.285249120694061e-05,-0.00015081959486451524,comparado
19540627_Germany_vs_Yugoslavia,1954-06-27,Germany,Yugoslavia,1720.002,1706.046,1720.0017979351032,1706.046214845709,0.0002020648967118177,-0.00021484570902430278,comparado
19540630_Austria_vs_Germany,1954-06-30,Austria,Germany,1706.875,1742.007,1706.874850019453,1742.0068697409706,0.00014998054689385754,0.00013025902944718837,comparado
19540630_Hungary_vs_Uruguay,1954-06-30,Hungary,Uruguay,1850.802,1734.282,1850.8016584820766,1734.2817413461248,0.00034151792328884767,0.00025865387510748405,comparado
19540703_Austria_vs_Uruguay,1954-07-03,Austria,Uruguay,1673.572,1719.456,1673.5715744473189,1719.455821425202,0.00042555268100841204,0.00017857479792837694,comparado
19540704_Germany_vs_Hungary,1954-07-04,Germany,Hungary,1775.31,1865.628,1775.3101453131048,1865.6275784029995,-0.0001453131048947398,0.0004215970004679548,comparado
19550227_Chile_vs_Ecuador,1955-02-27,Chile,Ecuador,1506.898,1235.222,1506.8982553509427,1235.2221157688987,-0.0002553509427798417,-0.00011576889869502338,comparado
19550302_Argentina_vs_Paraguay,1955-03-02,Argentina,Paraguay,1852.59,1694.293,1852.5902715594575,1694.2926112966331,-0.0002715594575875002,0.000388703366752452,comparado
19550306_Chile_vs_Peru,1955-03-06,Chile,Peru,1519.49,1572.765,1519.4895907062012,1572.765319947436,0.0004092937988389167,-0.0003199474358552834,comparado
19550309_Argentina_vs_Ecuador,1955-03-09,Argentina,Ecuador,1864.933,1222.631,1864.9331682958236,1222.6307804136402,-0.00016829582364152884,0.00021958635988994502,comparado
19550309_Paraguay_vs_Uruguay,1955-03-09,Paraguay,Uruguay,1681.95,1693.889,1681.949714560267,1693.8889258198242,0.0002854397330338543,7.418017571581004e-05,comparado
19550313_Chile_vs_Uruguay,1955-03-13,Chile,Uruguay,1543.685,1716.047,1543.6847247275807,1716.0470429629322,0.00027527241923053225,-4.2962932184309466e-05,comparado
19550313_Ecuador_vs_Peru,1955-03-13,Ecuador,Peru,1221.365,1548.57,1221.365211332039,1548.5701859260564,-0.0002113320390435547,-0.00018592605647427263,comparado
19550316_Argentina_vs_Peru,1955-03-16,Argentina,Peru,1866.199,1553.872,1866.1987373774248,1553.8716038359264,0.00026262257529197086,0.00039616407366338535,comparado
19550316_Ecuador_vs_Paraguay,1955-03-16,Ecuador,Paraguay,1216.064,1659.792,1216.063793422169,1659.791597417159,0.00020657783102251415,0.0004025828409339738,comparado
19550320_Chile_vs_Paraguay,1955-03-20,Chile,Paraguay,1553.325,1662.561,1553.3246362994753,1662.5614941619126,0.0003637005247583147,-0.0004941619126839214,comparado
19550323_Ecuador_vs_Uruguay,1955-03-23,Ecuador,Uruguay,1213.294,1706.407,1213.2938966774154,1706.4071313910376,0.0001033225846640562,-0.00013139103771209193,comparado
19550323_Paraguay_vs_Peru,1955-03-23,Paraguay,Peru,1615.801,1568.903,1615.801093079692,1568.9031119683516,-9.307969207839051e-05,-0.00011196835157534224,comparado
19550327_Argentina_vs_Uruguay,1955-03-27,Argentina,Uruguay,1851.167,1709.459,1851.1672292449996,1709.4593403397007,-0.00022924499967302836,-0.00034033970064228924,comparado
19550330_Chile_vs_Argentina,1955-03-30,Chile,Argentina,1600.085,1872.849,1600.0850373816959,1872.8487402009894,-3.738169584721618e-05,0.00025979901056416566,comparado
19550330_Peru_vs_Uruguay,1955-03-30,Peru,Uruguay,1571.721,1687.778,1571.7206683585725,1687.777829383711,0.00033164142746500147,0.00017061628909686988,comparado
19560121_Uruguay_vs_Paraguay,1956-01-21,Uruguay,Paraguay,1660.013,1610.752,1660.012770961335,1610.7522529270252,0.0002290386648837739,-0.0002529270252580318,comparado
19560122_Argentina_vs_Peru,1956-01-22,Argentina,Peru,1880.081,1599.486,1880.0809060966822,1599.4857267809484,9.390331774739025e-05,0.00027321905167809746,comparado
19560124_Brazil_vs_Chile,1956-01-24,Brazil,Chile,1787.483,1592.651,1787.4828299322896,1592.6509105061689,0.00017006771031446988,8.949383118306287e-05,comparado
19560128_Uruguay_vs_Peru,1956-01-28,Uruguay,Peru,1679.4,1592.519,1679.4002067594647,1592.5194818361665,-0.0002067594646177895,-0.00048183616650021577,comparado
19560129_Argentina_vs_Chile,1956-01-29,Argentina,Chile,1887.047,1632.995,1887.047151041464,1632.9951899318212,-0.00015104146405064967,-0.00018993182129634079,comparado
19560129_Brazil_vs_Paraguay,1956-01-29,Brazil,Paraguay,1747.139,1591.365,1747.1385505066373,1591.3648171288955,0.00044949336256649985,0.00018287110447090527,comparado
19560201_Argentina_vs_Paraguay,1956-02-01,Argentina,Paraguay,1894.828,1600.196,1894.8276660970457,1600.1962432675118,0.0003339029542530625,-0.0002432675119052874,comparado
19560201_Brazil_vs_Peru,1956-02-01,Brazil,Peru,1738.307,1575.762,1738.307124368021,1575.762234444171,-0.00012436802103366063,-0.00023444417115570104,comparado
19560205_Argentina_vs_Brazil,1956-02-05,Argentina,Brazil,1901.337,1750.142,1901.3369878868189,1750.1415928467984,1.2113181128370343e-05,0.00040715320164963487,comparado
19560205_Paraguay_vs_Peru,1956-02-05,Paraguay,Peru,1593.687,1563.928,1593.6869214777387,1563.9277659653937,7.852226121940475e-05,0.00023403460636473028,comparado
