group,team,qualified,winner,top2,third,fourth,avg_points,avg_goal_diff,avg_goals_for
A,Mexico,0.96906,0.59928,0.86602,0.11916,0.01482,6.62905,3.88641,5.78183
A,South Korea,0.86964,0.25643,0.6387,0.29284,0.06846,4.95079,1.30824,4.34981
A,Czech Republic,0.76676,0.13892,0.44809,0.42146,0.13045,4.03622,-0.10314,3.63957
A,South Africa,0.13362,0.00537,0.04719,0.16654,0.78627,1.06545,-5.09151,1.16181
B,Switzerland,0.99071,0.6376,0.95282,0.04333,0.00385,7.11032,4.81525,6.23015
B,Canada,0.96798,0.34054,0.88876,0.0979,0.01334,6.06005,3.14924,5.34726
B,Bosnia and Herzegovina,0.52364,0.01966,0.12881,0.60289,0.2683,2.60593,-2.73524,2.33136
B,Qatar,0.14903,0.0022,0.02961,0.25588,0.71451,1.11455,-5.22925,1.12495
C,Brazil,0.99269,0.78365,0.95776,0.03916,0.00308,7.55046,5.48377,6.53814
C,Morocco,0.86298,0.13127,0.59376,0.34603,0.06021,4.6016,0.71941,4.04533
C,Scotland,0.79375,0.08347,0.42399,0.48351,0.0925,3.92907,-0.33487,3.52884
C,Haiti,0.08123,0.00161,0.02449,0.1313,0.84421,0.78726,-5.86831,0.86314
D,Turkey,0.8636,0.45808,0.72661,0.17058,0.10281,5.49614,2.009,4.73803
D,Paraguay,0.66887,0.21167,0.4678,0.27388,0.25832,3.87997,-0.28344,3.52262
D,United States,0.61756,0.17546,0.41851,0.27444,0.30705,3.56082,-0.74684,3.36942
D,Australia,0.58789,0.15479,0.38708,0.2811,0.33182,3.38374,-0.97872,3.16753
E,Germany,0.99186,0.61986,0.95388,0.0436,0.00252,7.09403,4.87731,6.29169
E,Ecuador,0.9753,0.35969,0.90163,0.08943,0.00894,6.18821,3.42797,5.50013
E,Ivory Coast,0.59386,0.0194,0.12929,0.67768,0.19303,2.8235,-2.42516,2.50376
E,Curacao,0.09225,0.00105,0.0152,0.18929,0.79551,0.83978,-5.88012,0.85768
F,Netherlands,0.98454,0.66417,0.94469,0.0479,0.00741,7.13473,4.77563,6.17314
F,Japan,0.94221,0.30236,0.83311,0.1369,0.02999,5.71645,2.50507,4.99751
F,Sweden,0.47588,0.0252,0.15469,0.50719,0.33812,2.47689,-2.82066,2.27489
F,Tunisia,0.22786,0.00827,0.06751,0.30801,0.62448,1.46929,-4.46004,1.45048
G,Belgium,0.97032,0.67693,0.90689,0.07531,0.0178,6.90503,4.26262,5.86585
G,Iran,0.83906,0.22453,0.64285,0.25861,0.09854,4.75068,0.92832,4.11507
G,Egypt,0.59589,0.07549,0.32275,0.39701,0.28024,3.16459,-1.47527,2.88994
G,New Zealand,0.28669,0.02305,0.12751,0.26907,0.60342,1.76999,-3.71567,1.82409
H,Spain,0.99896,0.87912,0.99299,0.00662,0.00039,8.07881,6.69965,7.29167
H,Uruguay,0.95343,0.11365,0.86947,0.11153,0.019,5.40769,1.86514,4.67169
H,Saudi Arabia,0.39614,0.00558,0.09103,0.54168,0.36729,2.14913,-3.70731,1.87713
H,Cape Verde,0.20384,0.00165,0.04651,0.34017,0.61332,1.37721,-4.85748,1.31479
I,France,0.99101,0.75918,0.94956,0.04704,0.0034,7.44107,5.29643,6.46832
I,Norway,0.87991,0.14935,0.59406,0.35529,0.05065,4.65224,0.82724,4.12212
I,Senegal,0.80253,0.09018,0.43596,0.47575,0.08829,4.02849,-0.18444,3.58165
I,Iraq,0.07213,0.00129,0.02042,0.12192,0.85766,0.74162,-5.93923,0.77976
J,Argentina,0.9978,0.88747,0.98725,0.01158,0.00117,7.9952,6.42994,7.10318
J,Austria,0.83258,0.08755,0.65853,0.24623,0.09524,4.48456,0.22993,3.84929
J,Algeria,0.40305,0.01209,0.18547,0.38134,0.43319,2.23809,-3.20916,2.09737
J,Jordan,0.37162,0.01289,0.16875,0.36085,0.4704,2.09722,-3.45071,1.96494
K,Portugal,0.97923,0.5207,0.91667,0.0743,0.00903,6.61226,3.95454,5.70473
K,Colombia,0.97114,0.44867,0.90009,0.08623,0.01368,6.34993,3.57053,5.50635
K,Uzbekistan,0.51346,0.02582,0.14275,0.56205,0.2952,2.59032,-2.64717,2.35835
K,Dem. Rep. of Congo,0.17782,0.00481,0.04049,0.27742,0.68209,1.25794,-4.8779,1.28103
L,England,0.99338,0.69143,0.96687,0.03098,0.00215,7.38964,5.38009,6.5472
L,Croatia,0.96852,0.29148,0.88292,0.10588,0.0112,5.96564,3.06549,5.30367
L,Panama,0.57892,0.01594,0.13146,0.66271,0.20583,2.765,-2.59918,2.44242
L,Ghana,0.0998,0.00115,0.01875,0.20043,0.78082,0.86001,-5.8464,0.86345
