title,stage,match_id,team_a,team_b,model_result,model_result_prob,model_score,model_score_prob,penca_score,penca_expected_points,penca_exact_prob,penca_difference_prob,penca_result_prob,projection
Ecuador vs Curacao,Grupo E,,Ecuador,Curacao,Gana Ecuador,0.8601502540064434,Ecuador 2 - 0 Curacao,0.2096468499367995,Ecuador 2 - 0 Curacao,3.6923301368280104,0.2096468499367995,0.2414694124991406,0.8601502540064434,False
Argentina vs Algeria,Grupo J,,Argentina,Algeria,Gana Argentina,0.8561468365928496,Argentina 2 - 0 Algeria,0.20911850085323344,Argentina 2 - 0 Algeria,3.6745792661787444,0.20911850085323344,0.23939162692024782,0.8561468365928496,False
Spain vs Saudi Arabia,Grupo G,,Spain,Saudi Arabia,Gana Spain,0.8833060486487648,Spain 2 - 0 Saudi Arabia,0.20615541955860767,Spain 3 - 0 Saudi Arabia,3.656723635682278,0.19568489266829017,0.20987540586555634,0.8833060486487648,False
Spain vs Cape Verde,Grupo G,,Spain,Cape Verde,Gana Spain,0.8797575335584542,Spain 2 - 0 Cape Verde,0.21018301373137227,Spain 3 - 0 Cape Verde,3.653308091094176,0.19745530263007696,0.21083479126429136,0.8797575335584542,False
England vs Ghana,Grupo L,,England,Ghana,Gana England,0.8796604945808526,England 2 - 0 Ghana,0.21187230100738486,England 3 - 0 Ghana,3.6385160986282035,0.19447206554648314,0.20805920912309797,0.8796604945808526,False
Brazil vs Haiti,Grupo D,,Brazil,Haiti,Gana Brazil,0.8748181660871384,Brazil 2 - 0 Haiti,0.2088537334313031,Brazil 3 - 0 Haiti,3.6330323870479138,0.19531877304522752,0.21131078482540827,0.8748181660871384,False
Germany vs Curacao,Grupo E,,Germany,Curacao,Gana Germany,0.8727679263928901,Germany 2 - 0 Curacao,0.20586346050773352,Germany 3 - 0 Curacao,3.617682170245345,0.1930679757507112,0.21008723190727044,0.8727679263928901,False
France vs Iraq,Grupo I,,France,Iraq,Gana France,0.8729023756017587,France 2 - 0 Iraq,0.21084393961178055,France 3 - 0 Iraq,3.589869529927648,0.18800684971290388,0.20357092699183035,0.8729023756017587,False
Portugal vs Dem. Rep. of Congo,Grupo K,,Portugal,Dem. Rep. of Congo,Gana Portugal,0.8288355400099474,Portugal 2 - 0 Dem. Rep. of Congo,0.20147452676977687,Portugal 2 - 0 Dem. Rep. of Congo,3.5675267901511147,0.20147452676977687,0.238298294905971,0.8288355400099474,False
Tunisia vs Netherlands,Grupo F,,Tunisia,Netherlands,Gana Netherlands,0.8321627790459214,Tunisia 0 - 2 Netherlands,0.1973829703982647,Tunisia 0 - 2 Netherlands,3.5636650655360267,0.1973829703982647,0.23751390860173427,0.8321627790459214,False
Canada vs Qatar,Grupo B,,Canada,Qatar,Gana Canada,0.8295108154114716,Canada 2 - 0 Qatar,0.19734671675346277,Canada 2 - 0 Qatar,3.5542266441272337,0.19734671675346277,0.2368270238162153,0.8295108154114716,False
Colombia vs Dem. Rep. of Congo,Grupo K,,Colombia,Dem. Rep. of Congo,Gana Colombia,0.8351515869282411,Colombia 2 - 0 Dem. Rep. of Congo,0.19010221967707913,Colombia 2 - 0 Dem. Rep. of Congo,3.5407297118549086,0.19010221967707913,0.23248414601947398,0.8351515869282411,False
Dieciseisavos 5: France vs Egypt,Dieciseisavos de final,M77,France,Egypt,Gana France,0.8178657727192469,France 2 - 0 Egypt,0.20024878330922638,France 2 - 0 Egypt,3.536186447080595,0.20024878330922638,0.24092138949758765,0.8178657727192469,True
Jordan vs Argentina,Grupo J,,Jordan,Argentina,Gana Argentina,0.8603740254900366,Jordan 0 - 2 Argentina,0.20619574782653122,Jordan 0 - 3 Argentina,3.5280792598006103,0.18212515728842762,0.20029085573260896,0.8603740254900366,False
Uruguay vs Cape Verde,Grupo G,,Uruguay,Cape Verde,Gana Uruguay,0.8172805470175799,Uruguay 2 - 0 Cape Verde,0.1985055454494158,Uruguay 2 - 0 Cape Verde,3.5234499222797258,0.1985055454494158,0.23804582243936925,0.8172805470175799,False
Mexico vs South Africa,Grupo A,,Mexico,South Africa,Gana Mexico,0.8183279440859665,Mexico 2 - 0 South Africa,0.19349220792267016,Mexico 2 - 0 South Africa,3.5084020782770606,0.19349220792267016,0.23647081112557514,0.8183279440859665,False
Qatar vs Switzerland,Grupo B,,Qatar,Switzerland,Gana Switzerland,0.8540603683504714,Qatar 0 - 2 Switzerland,0.20676931762953973,Qatar 0 - 3 Switzerland,3.479870832447782,0.17603504740821255,0.19479229258586486,0.8540603683504714,False
Croatia vs Ghana,Grupo L,,Croatia,Ghana,Gana Croatia,0.8526878639984405,Croatia 2 - 0 Ghana,0.20059191089391665,Croatia 3 - 0 Ghana,3.477429012024802,0.17569365716469712,0.19614222426769456,0.8526878639984405,False
Dieciseisavos 2: Germany vs Bosnia and Herzegovina,Dieciseisavos de final,M74,Germany,Bosnia and Herzegovina,Gana Germany,0.8112692058094214,Germany 2 - 0 Bosnia and Herzegovina,0.19074726285008425,Germany 2 - 0 Bosnia and Herzegovina,3.4771356440317636,0.19074726285008425,0.23554311902662328,0.8112692058094214,True
Switzerland vs Bosnia and Herzegovina,Grupo B,,Switzerland,Bosnia and Herzegovina,Gana Switzerland,0.8118625018693392,Switzerland 2 - 0 Bosnia and Herzegovina,0.18594585434338803,Switzerland 2 - 0 Bosnia and Herzegovina,3.4615823205962597,0.18594585434338803,0.23407862597903892,0.8118625018693392,False
Germany vs Ivory Coast,Grupo E,,Germany,Ivory Coast,Gana Germany,0.8147247320535875,Germany 2 - 0 Ivory Coast,0.18178409104291504,Germany 2 - 0 Ivory Coast,3.454433484282804,0.18178409104291504,0.23245350749664803,0.8147247320535875,False
Iraq vs Norway,Grupo I,,Iraq,Norway,Gana Norway,0.7975951047811703,Iraq 0 - 2 Norway,0.18913249860401044,Iraq 0 - 2 Norway,3.4283784809040045,0.18913249860401044,0.23409783537423118,0.7975951047811703,False
Dieciseisavos 8: England vs Uzbekistan,Dieciseisavos de final,M80,England,Uzbekistan,Gana England,0.7892382116679396,England 2 - 0 Uzbekistan,0.1910463601289198,England 2 - 0 Uzbekistan,3.413895974128448,0.1910463601289198,0.23652112936893488,0.7892382116679396,True
Panama vs England,Grupo L,,Panama,England,Gana England,0.8367482066094974,Panama 0 - 2 England,0.19715824482957106,Panama 0 - 3 England,3.4102468088625524,0.17048835289019654,0.19426856518173527,0.8367482066094974,False
Dieciseisavos 12: Spain vs Austria,Dieciseisavos de final,M84,Spain,Austria,Gana Spain,0.7932333028612156,Spain 2 - 0 Austria,0.18235730151076562,Spain 2 - 0 Austria,3.3950358540908665,0.18235730151076562,0.23413202048746135,0.7932333028612156,True
Netherlands vs Sweden,Grupo F,,Netherlands,Sweden,Gana Netherlands,0.7935410684707266,Netherlands 2 - 0 Sweden,0.17998394910200982,Netherlands 2 - 0 Sweden,3.3875923879955776,0.17998394910200982,0.23350866763868408,0.7935410684707266,False
Argentina vs Austria,Grupo J,,Argentina,Austria,Gana Argentina,0.7953895010056127,Argentina 2 - 0 Austria,0.1761577205674637,Argentina 2 - 0 Austria,3.3777559561371198,0.1761577205674637,0.23155714570894534,0.7953895010056127,False
New Zealand vs Belgium,Grupo H,,New Zealand,Belgium,Gana Belgium,0.7887981050004698,New Zealand 0 - 2 Belgium,0.1744673373813911,New Zealand 0 - 2 Belgium,3.348693652986487,0.1744673373813911,0.22944866292045207,0.7887981050004698,False
Morocco vs Haiti,Grupo D,,Morocco,Haiti,Gana Morocco,0.7805297900678734,Morocco 2 - 0 Haiti,0.18113530771317946,Morocco 2 - 0 Haiti,3.3478528042485953,0.18113530771317946,0.23142875545271857,0.7805297900678734,False
Saudi Arabia vs Uruguay,Grupo G,,Saudi Arabia,Uruguay,Gana Uruguay,0.774466894209204,Saudi Arabia 0 - 2 Uruguay,0.18112462967271686,Saudi Arabia 0 - 2 Uruguay,3.32900291794958,0.18112462967271686,0.23111417315190858,0.774466894209204,False
Uruguay vs Spain,Grupo G,,Uruguay,Spain,Gana Spain,0.7864638027367934,Uruguay 0 - 2 Spain,0.1672951364050074,Uruguay 0 - 2 Spain,3.3136841077976897,0.1672951364050074,0.22620364518614375,0.7864638027367934,False
Senegal vs Iraq,Grupo I,,Senegal,Iraq,Gana Senegal,0.7610040629362057,Senegal 2 - 0 Iraq,0.180220105515996,Senegal 2 - 0 Iraq,3.288076906556322,0.180220105515996,0.2322022005998582,0.7610040629362057,False
Dieciseisavos 9: Turkey vs Bosnia and Herzegovina,Dieciseisavos de final,M81,Turkey,Bosnia and Herzegovina,Gana Turkey,0.7602982988107735,Turkey 2 - 0 Bosnia and Herzegovina,0.1780199058839346,Turkey 2 - 0 Bosnia and Herzegovina,3.2799057495710184,0.1780199058839346,0.2324755677434471,0.7602982988107735,True
Tunisia vs Japan,Grupo F,,Tunisia,Japan,Gana Japan,0.7679084963707226,Tunisia 0 - 2 Japan,0.1730126248421451,Tunisia 0 - 2 Japan,3.277864954700383,0.1730126248421451,0.22755079553089014,0.7679084963707226,False
Portugal vs Uzbekistan,Grupo K,,Portugal,Uzbekistan,Gana Portugal,0.7681264528921271,Portugal 2 - 0 Uzbekistan,0.17208713834063707,Portugal 2 - 0 Uzbekistan,3.2760467537718023,0.17208713834063707,0.22770299003675468,0.7681264528921271,False
Ivory Coast vs Ecuador,Grupo E,,Ivory Coast,Ecuador,Gana Ecuador,0.7610274868463184,Ivory Coast 0 - 1 Ecuador,0.1788819302189211,Ivory Coast 0 - 2 Ecuador,3.2708213966306072,0.17517151066059033,0.23111220205494035,0.7610274868463184,False
Haiti vs Scotland,Grupo D,,Haiti,Scotland,Gana Scotland,0.7557604222221026,Haiti 0 - 2 Scotland,0.1713673991633497,Haiti 0 - 2 Scotland,3.2404379642386276,0.1713673991633497,0.22952725004113558,0.7557604222221026,False
Cuartos 3: Belgium vs Spain,Cuartos de final,M99,Belgium,Spain,Gana Spain,0.7551692928357544,Belgium 0 - 2 Spain,0.16980895403721968,Belgium 0 - 2 Spain,3.2306384618269197,0.16980895403721968,0.2278518606039987,0.7551692928357544,True
Uzbekistan vs Colombia,Grupo K,,Uzbekistan,Colombia,Gana Colombia,0.757711231667082,Uzbekistan 0 - 2 Colombia,0.16715370165121443,Uzbekistan 0 - 2 Colombia,3.223285111715848,0.16715370165121443,0.22434515588047935,0.757711231667082,False
Dieciseisavos 15: Portugal vs Panama,Dieciseisavos de final,M87,Portugal,Panama,Gana Portugal,0.7471924986312729,Portugal 2 - 0 Panama,0.17440248657816124,Portugal 2 - 0 Panama,3.218416266851126,0.17440248657816124,0.22681565561141184,0.7471924986312729,True
South Africa vs South Korea,Grupo A,,South Africa,South Korea,Gana South Korea,0.7442055888054614,South Africa 0 - 1 South Korea,0.17224743834188544,South Africa 0 - 2 South Korea,3.1989479305120074,0.17166736051646408,0.22566454127311553,0.7442055888054614,False
Scotland vs Brazil,Grupo D,,Scotland,Brazil,Gana Brazil,0.7424505984511578,Scotland 0 - 2 Brazil,0.1671784085464691,Scotland 0 - 2 Brazil,3.179752134259693,0.1671784085464691,0.22543255663340603,0.7424505984511578,False
Panama vs Croatia,Grupo L,,Panama,Croatia,Gana Croatia,0.7458333004395925,Panama 0 - 2 Croatia,0.16259369109357238,Panama 0 - 2 Croatia,3.169007219763431,0.16259369109357238,0.2218631225819682,0.7458333004395925,False
Canada vs Bosnia and Herzegovina,Grupo B,,Canada,Bosnia and Herzegovina,Gana Canada,0.7396861571600667,Canada 2 - 0 Bosnia and Herzegovina,0.16525204350231215,Canada 2 - 0 Bosnia and Herzegovina,3.160816616612275,0.16525204350231215,0.22300100731256933,0.7396861571600667,False
France vs Senegal,Grupo I,,France,Senegal,Gana France,0.7312657891721145,France 2 - 0 Senegal,0.1628456134983003,France 2 - 0 Senegal,3.1272877017633816,0.1628456134983003,0.22247674687606847,0.7312657891721145,False
Brazil vs Morocco,Grupo D,,Brazil,Morocco,Gana Brazil,0.7100208607686813,Brazil 1 - 0 Morocco,0.16510846310092528,Brazil 2 - 0 Morocco,3.0344470296046437,0.15727711703174033,0.2162765481016894,0.7100208607686813,False
Octavos 7: Switzerland vs Argentina,Octavos de final,M95,Switzerland,Argentina,Gana Argentina,0.6962331124994777,Switzerland 0 - 1 Argentina,0.1579531184879653,Switzerland 0 - 2 Argentina,2.986216642224693,0.155540946233718,0.21544723301255295,0.6962331124994777,True
Dieciseisavos 14: Argentina vs Uruguay,Dieciseisavos de final,M86,Argentina,Uruguay,Gana Argentina,0.6935133107703845,Argentina 1 - 0 Uruguay,0.16261949306679277,Argentina 2 - 0 Uruguay,2.986212756079308,0.1585296399782685,0.21504195191667472,0.6935133107703845,True
Octavos 6: Croatia vs Spain,Octavos de final,M94,Croatia,Spain,Gana Spain,0.7001015336687143,Croatia 0 - 1 Spain,0.15582214739653244,Croatia 0 - 2 Spain,2.983776431274834,0.15179758666594248,0.21403953513543178,0.7001015336687143,True
Dieciseisavos 13: Switzerland vs Egypt,Dieciseisavos de final,M85,Switzerland,Egypt,Gana Switzerland,0.6969589441664888,Switzerland 1 - 0 Egypt,0.16878812733276446,Switzerland 2 - 0 Egypt,2.980968672876684,0.15477544199169607,0.2128827572010646,0.6969589441664888,True
Belgium vs Egypt,Grupo H,,Belgium,Egypt,Gana Belgium,0.6969682236626242,Belgium 1 - 0 Egypt,0.16014815881582095,Belgium 2 - 0 Egypt,2.96743725972789,0.15057007306693518,0.212411184769606,0.6969682236626242,False
Czech Republic vs South Africa,Grupo A,,Czech Republic,South Africa,Gana Czech Republic,0.6882525729362365,Czech Republic 1 - 0 South Africa,0.16695683748681062,Czech Republic 2 - 0 South Africa,2.93952695058738,0.1514449515150786,0.2102171886167172,0.6882525729362365,False
Japan vs Sweden,Grupo F,,Japan,Sweden,Gana Japan,0.6912400155193686,Japan 1 - 0 Sweden,0.14916547207053746,Japan 2 - 0 Sweden,2.9290858471579124,0.14482105920198274,0.21045131149692928,0.6912400155193686,False
Ghana vs Panama,Grupo L,,Ghana,Panama,Gana Panama,0.6778913379194988,Ghana 0 - 1 Panama,0.1618401240084538,Ghana 0 - 2 Panama,2.88685046955791,0.14590770693652572,0.20772666749491817,0.6778913379194988,False
Dieciseisavos 3: Netherlands vs Morocco,Dieciseisavos de final,M75,Netherlands,Morocco,Gana Netherlands,0.6266586105730929,Netherlands 1 - 0 Morocco,0.15760155020979938,Netherlands 1 - 0 Morocco,2.8694060076766075,0.15760155020979938,0.2583127626639654,0.6266586105730929,True
Norway vs France,Grupo I,,Norway,France,Gana France,0.671881008776256,Norway 0 - 1 France,0.13969071758266582,Norway 0 - 2 France,2.8488948170083397,0.13948409728325195,0.2073997494149077,0.671881008776256,False
Curacao vs Ivory Coast,Grupo E,,Curacao,Ivory Coast,Gana Ivory Coast,0.669202730337849,Curacao 0 - 1 Ivory Coast,0.1512480734081813,Curacao 0 - 2 Ivory Coast,2.844747251653769,0.14228136478106237,0.20514748314851738,0.669202730337849,False
Octavos 4: Mexico vs England,Octavos de final,M92,Mexico,England,Gana England,0.6624902598193035,Mexico 0 - 1 England,0.14897637634147443,Mexico 0 - 2 England,2.820789240389329,0.14157366100188418,0.20429873896288292,0.6624902598193035,True
Octavos 3: France vs Ecuador,Octavos de final,M91,France,Ecuador,Gana France,0.6496187669069423,France 1 - 0 Ecuador,0.1529393145905739,France 2 - 0 Ecuador,2.7860057717096165,0.14362885082718477,0.20313145925361756,0.6496187669069423,True
Iran vs New Zealand,Grupo H,,Iran,New Zealand,Gana Iran,0.646438163438682,Iran 1 - 0 New Zealand,0.15490578510857145,Iran 2 - 0 New Zealand,2.7619397748696155,0.14100414978958464,0.19980641759240766,0.646438163438682,False
Octavos 1: Canada vs Germany,Octavos de final,M89,Canada,Germany,Gana Germany,0.6305155748337226,Canada 0 - 1 Germany,0.14893786856281965,Canada 0 - 2 Germany,2.687378050922667,0.13489523817657548,0.19557280594588636,0.6305155748337226,True
Austria vs Jordan,Grupo J,,Austria,Jordan,Gana Austria,0.6219926836281492,Austria 1 - 0 Jordan,0.15135968337508993,Austria 2 - 1 Jordan,2.6294336989864076,0.08399911821786087,0.2557291467241888,0.6219926836281492,False
