team,appear,advance_group,reach_round16,reach_quarterfinal,reach_semifinal,reach_final,third_place,fourth_place,champion,group_winner,avg_group_points,avg_goals_for,avg_goals_against
Spain,1.0,0.99896,0.85835,0.69399,0.60891,0.41699,0.13829,0.05363,0.28318,0.87912,8.07881,14.39652,2.84582
Argentina,1.0,0.9978,0.78597,0.6729,0.52457,0.30366,0.15295,0.06796,0.18952,0.88747,7.9952,13.21921,3.18726
France,1.0,0.99101,0.88166,0.70016,0.46075,0.30434,0.09423,0.06218,0.15371,0.75918,7.44107,12.60954,3.71266
England,1.0,0.99338,0.82461,0.60674,0.34568,0.20987,0.07964,0.05617,0.09987,0.69143,7.38964,11.6819,3.70034
Brazil,1.0,0.99269,0.74935,0.51828,0.36539,0.18485,0.09957,0.08097,0.08269,0.78365,7.55046,11.14261,3.78465
Germany,1.0,0.99186,0.77401,0.52968,0.25877,0.11689,0.06998,0.0719,0.04371,0.61986,7.09403,10.51341,4.18554
Portugal,1.0,0.97923,0.70481,0.4483,0.20258,0.08192,0.06109,0.05957,0.03431,0.5207,6.61226,9.38899,4.28925
Netherlands,1.0,0.98454,0.64335,0.3316,0.20742,0.0862,0.0575,0.06372,0.0306,0.66417,7.13473,9.46406,3.91504
Colombia,1.0,0.97114,0.64367,0.37128,0.15381,0.05408,0.04529,0.05444,0.02057,0.44867,6.34993,8.65427,4.40625
Croatia,1.0,0.96852,0.56007,0.26498,0.11586,0.04593,0.02802,0.04191,0.01433,0.29148,5.96564,7.80381,4.67577
Switzerland,1.0,0.99071,0.74441,0.21712,0.08698,0.02314,0.02287,0.04097,0.00675,0.6376,7.11032,8.93547,3.94091
Belgium,1.0,0.97032,0.68173,0.35583,0.07749,0.02205,0.01903,0.03641,0.00623,0.67693,6.90503,8.6721,4.10967
Ecuador,1.0,0.9753,0.5617,0.26677,0.08805,0.02548,0.02141,0.04116,0.00599,0.35969,6.18821,7.88717,4.48228
Turkey,1.0,0.8636,0.5912,0.30387,0.06793,0.01875,0.01611,0.03307,0.00497,0.45808,5.49614,7.19376,4.9281
Norway,1.0,0.87991,0.48919,0.15785,0.0534,0.01836,0.012,0.02304,0.00496,0.14935,4.65224,5.97247,5.42273
Uruguay,1.0,0.95343,0.24932,0.12668,0.05837,0.01456,0.01539,0.02842,0.004,0.11365,5.40769,5.89584,5.09222
Mexico,1.0,0.96906,0.64631,0.20083,0.05248,0.01621,0.01171,0.02456,0.00374,0.59928,6.62905,8.10769,4.29093
Japan,1.0,0.94221,0.37469,0.12075,0.05478,0.01515,0.01311,0.02652,0.00367,0.30236,5.71645,6.53952,4.75114
Senegal,1.0,0.80253,0.34855,0.09886,0.02493,0.00676,0.00495,0.01322,0.00133,0.09018,4.02849,4.82992,5.64347
Canada,1.0,0.96798,0.54548,0.12618,0.03025,0.00631,0.0059,0.01804,0.00113,0.34054,6.06005,7.15878,4.56421
South Korea,1.0,0.86964,0.41241,0.10665,0.01988,0.00389,0.00373,0.01226,0.00081,0.25643,4.95079,5.74767,5.11946
Austria,1.0,0.83258,0.15996,0.06114,0.02126,0.00425,0.00481,0.0122,0.00077,0.08755,4.48456,4.5702,5.63263
Paraguay,1.0,0.66887,0.34648,0.12996,0.02146,0.00389,0.00457,0.013,0.00076,0.21167,3.87997,4.77498,5.42848
Morocco,1.0,0.86298,0.23343,0.05289,0.01628,0.00357,0.00361,0.0091,0.00062,0.13127,4.6016,4.91243,5.31795
Australia,1.0,0.58789,0.27677,0.09563,0.01657,0.0028,0.00316,0.01061,0.00051,0.15479,3.38374,4.15686,5.57148
United States,1.0,0.61756,0.29908,0.10539,0.01749,0.00325,0.00345,0.01079,0.00042,0.17546,3.56082,4.45693,5.65451
Scotland,1.0,0.79375,0.19857,0.04226,0.01069,0.00183,0.0022,0.00666,0.0003,0.08347,3.92907,4.2709,5.71655
Iran,1.0,0.83906,0.33169,0.08945,0.01245,0.00186,0.00207,0.00852,0.00029,0.22453,4.75068,5.25954,5.14435
Czech Republic,1.0,0.76676,0.28027,0.06408,0.00931,0.0014,0.00143,0.00648,0.00017,0.13892,4.03622,4.59894,5.53572
Ivory Coast,1.0,0.59386,0.08309,0.01233,0.00122,0.00011,0.00011,0.001,3e-05,0.0194,2.8235,2.81643,6.30629
Sweden,1.0,0.47588,0.08291,0.01501,0.00221,0.00035,0.00029,0.00157,2e-05,0.0252,2.47689,2.58695,6.21213
Uzbekistan,1.0,0.51346,0.07138,0.01785,0.00258,0.00033,0.00037,0.00188,1e-05,0.02582,2.59032,2.64851,6.20177
Egypt,1.0,0.59589,0.13857,0.02474,0.00274,0.00032,0.00032,0.0021,1e-05,0.07549,3.16459,3.35897,5.75272
Jordan,1.0,0.37162,0.04292,0.00833,0.00111,0.00011,0.00014,0.00086,1e-05,0.01289,2.09722,2.14202,6.28322
Tunisia,1.0,0.22786,0.02669,0.0034,0.00036,3e-05,2e-05,0.00031,1e-05,0.00827,1.46929,1.55331,6.44083
Panama,1.0,0.57892,0.07522,0.0188,0.00237,0.00027,0.00033,0.00177,0.0,0.01594,2.765,2.75918,6.39624
Algeria,1.0,0.40305,0.05237,0.01119,0.00153,0.0001,0.0002,0.00123,0.0,0.01209,2.23809,2.29969,6.25651
Bosnia and Herzegovina,1.0,0.52364,0.06501,0.00798,0.00054,6e-05,2e-05,0.00046,0.0,0.01966,2.60593,2.56699,6.28944
