variant,matches,brier_score,log_loss,accuracy,mae_total_goals,expected_penca_points,delta_brier_vs_full,delta_log_loss_vs_full,delta_accuracy_vs_full,recommendation
modelo_completo,1930,0.19995181914933,1.0038472968239058,0.5409326424870466,1.9381512550083544,,0.0,0.0,0.0,referencia
sin_mercado,1930,0.19995181914933,1.0038472968239058,0.5409326424870466,1.9381512550083544,,0.0,0.0,0.0,impacto_neutro; mantener_con_peso_suave
sin_elo,0,,,,,,,,,sin_datos_suficientes
sin_fifa,1930,0.19995181914933,1.0038472968239058,0.5409326424870466,1.9381512550083544,,0.0,0.0,0.0,impacto_neutro; mantener_con_peso_suave
sin_historia,1930,0.19995181914933,1.0038472968239058,0.5409326424870466,1.9381512550083544,,0.0,0.0,0.0,impacto_neutro; mantener_con_peso_suave
sin_plantilla,1930,0.19995181914933,1.0038472968239058,0.5409326424870466,1.9381512550083544,,0.0,0.0,0.0,impacto_neutro; mantener_con_peso_suave
sin_contexto,1930,0.19995181914933,1.0038472968239058,0.5409326424870466,1.9381512550083544,,0.0,0.0,0.0,impacto_neutro; mantener_con_peso_suave
sin_coach_bias,1930,0.19995181914933,1.0038472968239058,0.5409326424870466,1.9381512550083544,,0.0,0.0,0.0,impacto_neutro; mantener_con_peso_suave
sin_chemistry_bias,1930,0.19995181914933,1.0038472968239058,0.5409326424870466,1.9381512550083544,,0.0,0.0,0.0,impacto_neutro; mantener_con_peso_suave
sin_discipline_bias,1930,0.19995181914933,1.0038472968239058,0.5409326424870466,1.9381512550083544,,0.0,0.0,0.0,impacto_neutro; mantener_con_peso_suave
sin_resource_index,1930,0.19995181914933,1.0038472968239058,0.5409326424870466,1.9381512550083544,,0.0,0.0,0.0,impacto_neutro; mantener_con_peso_suave
sin_consensus_priors,1930,0.19995181914933,1.0038472968239058,0.5409326424870466,1.9381512550083544,,0.0,0.0,0.0,impacto_neutro; mantener_con_peso_suave
sin_tactical_bias,1930,0.19995181914933,1.0038472968239058,0.5409326424870466,1.9381512550083544,,0.0,0.0,0.0,impacto_neutro; mantener_con_peso_suave
sin_state_dynamic,1930,0.19995181914933,1.0038472968239058,0.5409326424870466,1.9381512550083544,,0.0,0.0,0.0,impacto_neutro; mantener_con_peso_suave
