match_id,date,competition,phase,team_a,team_b,goals_a,goals_b,neutral,knockout,elo_a_pre,elo_b_pre,fifa_rank_a_pre,fifa_rank_b_pre,market_prob_a_pre,market_prob_draw_pre,market_prob_b_pre,squad_quality_a_pre,squad_quality_b_pre,historical_strength_a_pre,historical_strength_b_pre,city,venue_country,source_dataset,source_url,data_quality_note
19500624_Brazil_vs_Mexico,1950-06-24,FIFA World Cup,unknown_stage_from_source,Brazil,Mexico,4,0,0,,1776.493,1652.380,,,,,,,,0.626468,0.000000,Rio de Janeiro,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500625_Chile_vs_England,1950-06-25,FIFA World Cup,unknown_stage_from_source,Chile,England,0,2,1,,1489.726,1726.578,,,,,,,,0.330046,,Rio de Janeiro,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500625_Italy_vs_Sweden,1950-06-25,FIFA World Cup,unknown_stage_from_source,Italy,Sweden,2,3,1,,1778.604,1666.652,,,,,,,,0.924259,0.436000,São Paulo,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500625_Spain_vs_United_States,1950-06-25,FIFA World Cup,unknown_stage_from_source,Spain,United States,3,1,1,,1623.231,1436.628,,,,,,,,0.469444,0.443750,Curitiba,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500625_Switzerland_vs_Yugoslavia,1950-06-25,FIFA World Cup,unknown_stage_from_source,Switzerland,Yugoslavia,0,3,1,,1514.404,1598.035,,,,,,,,0.472667,0.636667,Belo Horizonte,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500628_Brazil_vs_Switzerland,1950-06-28,FIFA World Cup,unknown_stage_from_source,Brazil,Switzerland,2,2,0,,1797.520,1492.982,,,,,,,,0.633284,0.386389,São Paulo,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500628_Mexico_vs_Yugoslavia,1950-06-28,FIFA World Cup,unknown_stage_from_source,Mexico,Yugoslavia,1,4,1,,1631.353,1619.458,,,,,,,,0.000000,0.738750,Porto Alegre,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500629_Chile_vs_Spain,1950-06-29,FIFA World Cup,unknown_stage_from_source,Chile,Spain,0,2,1,,1481.241,1634.060,,,,,,,,0.325586,0.602083,Rio de Janeiro,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500629_England_vs_United_States,1950-06-29,FIFA World Cup,unknown_stage_from_source,England,United States,0,1,1,,1735.063,1425.799,,,,,,,,1.000000,0.355000,Belo Horizonte,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500629_Paraguay_vs_Sweden,1950-06-29,FIFA World Cup,unknown_stage_from_source,Paraguay,Sweden,2,2,1,,1641.192,1694.194,,,,,,,,0.472984,0.522500,Curitiba,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500701_Brazil_vs_Yugoslavia,1950-07-01,FIFA World Cup,unknown_stage_from_source,Brazil,Yugoslavia,2,0,0,,1782.721,1649.404,,,,,,,,0.629372,0.800000,Rio de Janeiro,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500702_Bolivia_vs_Uruguay,1950-07-02,FIFA World Cup,unknown_stage_from_source,Bolivia,Uruguay,0,8,1,,1350.835,1569.234,,,,,,,,0.080980,0.712299,Belo Horizonte,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500702_Chile_vs_United_States,1950-07-02,FIFA World Cup,unknown_stage_from_source,Chile,United States,5,2,1,,1468.589,1461.739,,,,,,,,0.321244,0.455000,Recife,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500702_England_vs_Spain,1950-07-02,FIFA World Cup,unknown_stage_from_source,England,Spain,0,1,1,,1699.122,1646.712,,,,,,,,0.522500,0.681667,Rio de Janeiro,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500702_Italy_vs_Paraguay,1950-07-02,FIFA World Cup,unknown_stage_from_source,Italy,Paraguay,2,0,1,,1751.062,1644.371,,,,,,,,0.836333,0.471243,São Paulo,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500702_Mexico_vs_Switzerland,1950-07-02,FIFA World Cup,unknown_stage_from_source,Mexico,Switzerland,1,2,1,,1601.406,1507.780,,,,,,,,0.000000,0.383095,Porto Alegre,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500709_Brazil_vs_Sweden,1950-07-09,FIFA World Cup,unknown_stage_from_source,Brazil,Sweden,7,1,0,,1796.514,1691.015,,,,,,,,0.634667,0.499762,Rio de Janeiro,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500709_Spain_vs_Uruguay,1950-07-09,FIFA World Cup,unknown_stage_from_source,Spain,Uruguay,2,2,1,,1670.856,1587.826,,,,,,,,0.727222,0.718636,São Paulo,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500713_Brazil_vs_Spain,1950-07-13,FIFA World Cup,unknown_stage_from_source,Brazil,Spain,6,1,0,,1824.019,1665.931,,,,,,,,0.642347,0.675238,Rio de Janeiro,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500713_Sweden_vs_Uruguay,1950-07-13,FIFA World Cup,unknown_stage_from_source,Sweden,Uruguay,2,3,1,,1663.511,1592.751,,,,,,,,0.414792,0.714644,São Paulo,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500716_Brazil_vs_Uruguay,1950-07-16,FIFA World Cup,unknown_stage_from_source,Brazil,Uruguay,1,2,0,,1844.168,1617.970,,,,,,,,0.649190,0.717315,Rio de Janeiro,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19500716_Spain_vs_Sweden,1950-07-16,FIFA World Cup,unknown_stage_from_source,Spain,Sweden,1,3,1,,1645.781,1638.292,,,,,,,,0.573958,0.373704,São Paulo,Brazil,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530222_Peru_vs_Bolivia,1953-02-22,Copa América,unknown_stage_from_source,Peru,Bolivia,0,1,0,,1580.279,1332.244,,,,,,,,0.405947,0.070952,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530225_Bolivia_vs_Uruguay,1953-02-25,Copa América,unknown_stage_from_source,Bolivia,Uruguay,0,2,1,,1366.120,1659.197,,,,,,,,0.095509,0.719927,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530225_Chile_vs_Paraguay,1953-02-25,Copa América,unknown_stage_from_source,Chile,Paraguay,0,3,1,,1560.762,1628.919,,,,,,,,0.330768,0.463880,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530228_Peru_vs_Ecuador,1953-02-28,Copa América,unknown_stage_from_source,Peru,Ecuador,1,0,0,,1546.404,1232.194,,,,,,,,0.397926,0.004657,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530301_Bolivia_vs_Brazil,1953-03-01,Copa América,unknown_stage_from_source,Bolivia,Brazil,1,8,1,,1359.761,1824.564,,,,,,,,0.092928,0.640913,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530301_Chile_vs_Uruguay,1953-03-01,Copa América,unknown_stage_from_source,Chile,Uruguay,3,2,1,,1537.994,1665.555,,,,,,,,0.325887,0.722971,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530304_Ecuador_vs_Paraguay,1953-03-04,Copa América,unknown_stage_from_source,Ecuador,Paraguay,0,0,1,,1226.281,1651.687,,,,,,,,0.005810,0.472821,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530304_Peru_vs_Chile,1953-03-04,Copa América,unknown_stage_from_source,Peru,Chile,0,0,0,,1552.317,1566.376,,,,,,,,0.410036,0.333953,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530308_Bolivia_vs_Ecuador,1953-03-08,Copa América,unknown_stage_from_source,Bolivia,Ecuador,1,1,1,,1355.116,1243.941,,,,,,,,0.084561,0.015741,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530308_Peru_vs_Paraguay,1953-03-08,Copa América,unknown_stage_from_source,Peru,Paraguay,2,2,0,,1553.166,1634.027,,,,,,,,0.409043,0.471162,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530312_Brazil_vs_Ecuador,1953-03-12,Copa América,unknown_stage_from_source,Brazil,Ecuador,2,0,1,,1829.209,1250.441,,,,,,,,0.648806,0.025135,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
