match_id,title,team_a,team_b,model_prob_a,model_prob_draw,model_prob_b,market_prob_a,market_prob_draw,market_prob_b,market_total_goals,market_handicap,gap_status
,Mexico vs South Africa,Mexico,South Africa,0.7704348778,0.1730628577,0.0565022644,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,South Korea vs Czech Republic,South Korea,Czech Republic,0.4182140378,0.3012948157,0.2804911465,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Canada vs Bosnia and Herzegovina,Canada,Bosnia and Herzegovina,0.6491593194,0.2301887591,0.1206519215,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,United States vs Paraguay,United States,Paraguay,0.3872739345,0.2996587229,0.3130673425,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Qatar vs Switzerland,Qatar,Switzerland,0.0309985203,0.1270118162,0.8419896635,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Brazil vs Morocco,Brazil,Morocco,0.6601384117,0.2262454081,0.1136161802,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Haiti vs Scotland,Haiti,Scotland,0.0935011057,0.2022398949,0.7042589994,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Australia vs Turkey,Australia,Turkey,0.1738305178,0.2591601935,0.5670092886,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Germany vs Curacao,Germany,Curacao,0.9234926985,0.0603808232,0.0161264782,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Netherlands vs Japan,Netherlands,Japan,0.5203150198,0.2724349546,0.2072500256,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Ivory Coast vs Ecuador,Ivory Coast,Ecuador,0.1406264554,0.2981027847,0.5612707599,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Sweden vs Tunisia,Sweden,Tunisia,0.4901001617,0.2852730991,0.2246267392,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Spain vs Cape Verde,Spain,Cape Verde,0.9054298179,0.0771115185,0.0174586636,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Belgium vs Egypt,Belgium,Egypt,0.6612789099,0.2238596979,0.1148613921,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
