match_id,stage_label,title,team_a,team_b,model_modal_score,model_modal_prob,penca_score,penca_exact_prob,penca_expected_points_8_5_3,modal_expected_points_8_5_3,top3_by_probability,top3_by_expected_points,recommended_strategy,leader_score,middle_score,chaser_score,confidence_label,why_not_model_modal,tail_7plus_or_other_prob,warnings
,Grupo A,Mexico vs South Africa,Mexico,South Africa,2-0,0.1809190791,2-0,0.1809190791,3.2917224097,3.2917224097,2-0 (18.1%); 1-0 (16.1%); 3-0 (14.6%),2-0 (3.29 pts); 1-0 (3.21 pts); 3-0 (3.09 pts),balanced,2-0,2-0,2-0,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0133665980,
,Grupo A,South Korea vs Czech Republic,South Korea,Czech Republic,1-1,0.1350677473,1-0,0.1017009765,1.9649192922,1.9116773207,1-1 (13.5%); 0-0 (10.9%); 1-0 (10.2%),1-0 (1.96 pts); 1-1 (1.91 pts); 2-1 (1.89 pts),balanced,1-1,1-0,1-0,Baja,"No elegimos 1-1 aunque sea el modal (13.5%) porque 1-0 da mayor valor Penca esperado (1.96 vs 1.91 pts) al combinar exacto, diferencia y resultado.",0.0017766903,Penca difiere del modal
,Grupo B,Canada vs Bosnia and Herzegovina,Canada,Bosnia and Herzegovina,2-0,0.1447259109,1-0,0.1382977607,2.7813457987,2.7718728475,2-0 (14.5%); 1-0 (13.8%); 0-0 (11.7%),1-0 (2.78 pts); 2-0 (2.77 pts); 2-1 (2.55 pts),balanced,2-0,1-0,1-0,Media,"No elegimos 2-0 aunque sea el modal (14.5%) porque 1-0 da mayor valor Penca esperado (2.78 vs 2.77 pts) al combinar exacto, diferencia y resultado.",0.0076141631,Penca difiere del modal
,Grupo C,United States vs Paraguay,United States,Paraguay,1-1,0.1327906623,1-0,0.1092144112,1.9204643248,1.8966656015,1-1 (13.3%); 0-0 (11.3%); 1-0 (10.9%),1-0 (1.92 pts); 1-1 (1.90 pts); 2-1 (1.84 pts),balanced,1-1,1-0,1-0,Baja,"No elegimos 1-1 aunque sea el modal (13.3%) porque 1-0 da mayor valor Penca esperado (1.92 vs 1.90 pts) al combinar exacto, diferencia y resultado.",0.0013545268,Penca difiere del modal
,Grupo B,Qatar vs Switzerland,Qatar,Switzerland,0-2,0.1994306981,0-2,0.1994306981,3.5790314883,3.5790314883,0-2 (19.9%); 0-3 (17.7%); 0-1 (16.3%),0-2 (3.58 pts); 0-3 (3.45 pts); 0-1 (3.41 pts),balanced,0-2,0-2,0-2,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0180544666,
,Grupo D,Brazil vs Morocco,Brazil,Morocco,1-0,0.1552642456,1-0,0.1552642456,2.9241620935,2.9241620935,1-0 (15.5%); 2-0 (14.6%); 0-0 (11.0%),1-0 (2.92 pts); 2-0 (2.82 pts); 2-1 (2.67 pts),balanced,1-0,1-0,1-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0058926850,
,Grupo D,Haiti vs Scotland,Haiti,Scotland,0-2,0.1571126313,0-1,0.1496842006,3.0149569150,3.0101921252,0-2 (15.7%); 0-1 (15.0%); 0-3 (11.1%),0-1 (3.01 pts); 0-2 (3.01 pts); 1-2 (2.76 pts),balanced,0-2,0-1,0-1,Media,"No elegimos 0-2 aunque sea el modal (15.7%) porque 0-1 da mayor valor Penca esperado (3.01 vs 3.01 pts) al combinar exacto, diferencia y resultado.",0.0088102511,Penca difiere del modal
,Grupo C,Australia vs Turkey,Australia,Turkey,0-1,0.1348875929,0-1,0.1348875929,2.5982333309,2.5982333309,0-1 (13.5%); 0-2 (11.3%); 1-1 (11.2%),0-1 (2.60 pts); 1-2 (2.45 pts); 0-2 (2.39 pts),balanced,0-1,0-1,0-1,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0032600684,
,Grupo E,Germany vs Curacao,Germany,Curacao,3-0,0.1798554717,3-0,0.1798554717,3.7281751600,3.7281751600,3-0 (18.0%); 4-0 (15.2%); 2-0 (14.5%),3-0 (3.73 pts); 4-0 (3.57 pts); 2-0 (3.57 pts),balanced,3-0,3-0,3-0,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0737681671,cola 7+ relevante
,Grupo F,Netherlands vs Japan,Netherlands,Japan,1-0,0.1243167521,1-0,0.1243167521,2.3911038255,2.3911038255,1-0 (12.4%); 1-1 (12.0%); 0-0 (10.5%),1-0 (2.39 pts); 2-1 (2.26 pts); 2-0 (2.19 pts),balanced,1-0,1-0,1-0,Baja,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0026478693,
