match_id,stage_label,title,team_a,team_b,score,goals_a,goals_b,prob_scoreline,expected_points_8_5_3,exact_prob,difference_prob,result_prob,risk_adjusted_points,ensemble_adjusted_points,competitive_adjusted_points,public_score_popularity_index,differential_value_index,plausibility_index,rank_by_probability,rank_by_expected_points,selected_by_model,selected_by_penca,model_modal_score,model_modal_prob,penca_score,penca_expected_points,tail_7plus_or_other_prob
,Grupo A,Mexico vs South Africa,Mexico,South Africa,0-0,0,0,0.11116049971046343,1.1987957878810724,0.11116049971046343,0.1730628577499364,0.1730628577499364,0.8793864097326545,1.172834565342716,1.3027398724427464,0.0,0.4639475253572513,0.9646331072360484,4,22,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,0-1,0,1,0.034344019366663835,0.36630653439584776,0.034344019366663835,0.04688384153941793,0.056502264405673464,0.13070822788357378,0.44061849924951413,0.5534149343056183,0.0,0.4028444109146578,0.9793463039699353,10,29,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,0-2,0,2,0.005992157628977267,0.20329983139599772,0.005992157628977267,0.007908282646022754,0.056502264405673464,0.05922883511033943,0.20443647351541006,0.3005857208643802,0.0,0.34339016910346476,0.748031260216426,16,35,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,0-3,0,3,0.0010758543507024528,0.1755346516913196,0.0010758543507024528,0.0014001477110959315,0.056502264405673464,0.05811476056208981,0.057715496586784,0.12022392225987331,0.0,0.22324437740389036,0.5703124590183908,23,40,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,0-4,0,4,0.00019749405143463833,0.17060858803268128,0.00019749405143463833,0.00025465633067848874,0.056502264405673464,0.05875952449897201,-0.00421622577810591,0.040705857795364585,0.0,0.1604360127623946,0.48,30,44,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,0-5,0,5,3.6049514002214265e-05,0.16970670611414088,3.6049514002214265e-05,4.588217755692376e-05,0.056502264405673464,0.05891533641894765,-0.0367720372246178,0.0059172792175419195,0.0,0.1524618444362847,0.48,36,47,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,0-6,0,6,6.298285344174758e-06,0.16954152041250822,6.298285344174758e-06,7.916169727640867e-06,0.056502264405673464,0.05894570067992162,-0.03811194167524327,0.00415551119261922,0.0,0.15095518881379458,0.48,43,49,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,1-0,1,0,0.16138244858510195,3.2135950352136273,0.16138244858510195,0.2090715279625759,0.77043487784439,3.1027057413627293,3.4145896970871874,3.6163682184193346,0.0,0.7206375761862394,0.9671163682101024,2,2,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,1-1,1,1,0.05240828156501512,1.0225391334447274,0.05240828156501512,0.1730628577499364,0.1730628577499364,0.7715851234712074,1.048817046817387,1.1896928048881787,0.0,0.5031277073956848,0.9696371546172544,6,23,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,1-2,1,2,0.010784573717051134,0.29562819744700963,0.010784573717051134,0.04688384153941793,0.056502264405673464,0.11546807200970667,0.3378632656757769,0.4518657348047015,0.0,0.407151675460445,0.9833988025865268,13,30,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,1-3,1,3,0.0016390253455620285,0.19024043454575199,0.0016390253455620285,0.007908282646022754,0.056502264405673464,0.06336107259729012,0.14879603013207857,0.23750080194833428,0.0,0.31680275648662753,0.9892879586328877,20,36,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
