team,undervalued_label,undervalued_value_score,model_minus_consensus,adjusted_minus_consensus,path_index,ceiling_index,model_prob,consensus_prob,adjusted_prob,quarterfinal_prob,semifinal_prob,final_prob,watch_index,tier,action,data_note
Portugal,Tapado por camino favorable,60.8,-0.04069,-0.020345,0.303721,0.148283,0.03431,0.075,0.054654999999999995,0.44830000000000003,0.20258,0.08191999999999999,89.15391428571428,Candidato secundario,No subirlo por talento puro; subirlo solo si el cuadro queda abierto.,Brecha calculada contra consenso externo disponible en el modelo; no reemplaza odds live reales.
Netherlands,Tapado por camino favorable,60.32,-0.0194,-0.0097,0.24769,0.152871,0.0306,0.05,0.0403,0.33160000000000006,0.20742,0.0862,82.56628571428571,Candidato secundario,No subirlo por talento puro; subirlo solo si el cuadro queda abierto.,Brecha calculada contra consenso externo disponible en el modelo; no reemplaza odds live reales.
Colombia,Tapado por camino favorable,55.34,0.00257,0.001285,0.244594,0.108932,0.02057,0.018,0.019285,0.37128,0.15381,0.054079999999999996,62.636799999999994,Candidato secundario,No subirlo por talento puro; subirlo solo si el cuadro queda abierto.,Brecha calculada contra consenso externo disponible en el modelo; no reemplaza odds live reales.
Croatia,Tapado por camino favorable,38.27,-0.00067,-0.000335,0.177833,0.084392,0.01433,0.015,0.014665000000000001,0.26498,0.11585999999999999,0.04593,43.57286666666666,Tapado serio,No subirlo por talento puro; subirlo solo si el cuadro queda abierto.,Brecha calculada contra consenso externo disponible en el modelo; no reemplaza odds live reales.
Belgium,Tapado por camino favorable,36.06,-0.00777,-0.003885,0.206681,0.052542,0.00623,0.014,0.010115,0.35583000000000004,0.07749,0.02205,33.634,Tapado serio,No subirlo por talento puro; subirlo solo si el cuadro queda abierto.,Brecha calculada contra consenso externo disponible en el modelo; no reemplaza odds live reales.
Ecuador,Tapado por camino favorable,33.17,-0.001701,-0.00085,0.166147,0.059894,0.00599,0.007690649224806209,0.006840324612403104,0.2667699999999999,0.08804999999999999,0.02548,39.36684338316722,Tapado serio,No subirlo por talento puro; subirlo solo si el cuadro queda abierto.,Brecha calculada contra consenso externo disponible en el modelo; no reemplaza odds live reales.
Turkey,Tapado por camino favorable,31.11,-0.001411,-0.000706,0.177048,0.045799,0.00497,0.006381056201550393,0.005675528100775196,0.30387,0.06793,0.018750000000000003,29.568796188630497,Tapado serio,No subirlo por talento puro; subirlo solo si el cuadro queda abierto.,Brecha calculada contra consenso externo disponible en el modelo; no reemplaza odds live reales.
Switzerland,Alerta secundaria,28.5,-0.001916,-0.000958,0.140559,0.058252,0.00675,0.00866642441860466,0.00770821220930233,0.21712,0.08698,0.02314,30.142433231819865,Tapado serio,"Mantener en watchlist, no mover la llave base sin nueva evidencia.",Brecha calculada contra consenso externo disponible en el modelo; no reemplaza odds live reales.
Mexico,Alerta secundaria,21.99,-0.001062,-0.000531,0.120126,0.036159,0.00374,0.004801841085271322,0.004270920542635661,0.20082999999999998,0.052480000000000006,0.016210000000000002,21.620558231819864,Tapado de mayor varianza,"Mantener en watchlist, no mover la llave base sin nueva evidencia.",Brecha calculada contra consenso externo disponible en el modelo; no reemplaza odds live reales.
Norway,Alerta secundaria,20.8,-0.001408,-0.000704,0.099318,0.037632,0.00496,0.006368217054263572,0.0056641085271317854,0.15785,0.053399999999999996,0.01836,28.168405094130677,Tapado de mayor varianza,"Mantener en watchlist, no mover la llave base sin nueva evidencia.",Brecha calculada contra consenso externo disponible en el modelo; no reemplaza odds live reales.
Japan,Alerta secundaria,18.06,-0.001042,-0.000521,0.080632,0.036947,0.00367,0.00471196705426357,0.004190983527131785,0.12075,0.05478,0.01515,25.207287236987824,Tapado de mayor varianza,"Mantener en watchlist, no mover la llave base sin nueva evidencia.",Brecha calculada contra consenso externo disponible en el modelo; no reemplaza odds live reales.
Uruguay,Alerta secundaria,17.73,-0.001136,-0.000568,0.084639,0.038656,0.004,0.005135658914728687,0.004567829457364343,0.12668,0.05837,0.01456,18.89121557770395,Tapado de mayor varianza,"Mantener en watchlist, no mover la llave base sin nueva evidencia.",Brecha calculada contra consenso externo disponible en el modelo; no reemplaza odds live reales.
Morocco,Alerta secundaria,7.41,-0.000176,-8.8e-05,0.032297,0.010561,0.00062,0.0007960271317829465,0.0007080135658914732,0.05289,0.01628,0.00357,14.53484785898856,Tapado de mayor varianza,"Mantener en watchlist, no mover la llave base sin nueva evidencia.",Brecha calculada contra consenso externo disponible en el modelo; no reemplaza odds live reales.
